feature,rho,p,loso_acc,majority
epv_target,-0.25028270272391023,2.748031651656097e-203,0.6218029350104822,0.5917540181691126
n_target,-0.25816783736533083,1.2831955737075832e-216,0.6331236897274634,0.5917540181691126
n_min,-0.18526739196759698,1.0954201980909944e-110,0.6331236897274634,0.5917540181691126
n_partner_total,-0.03427581150418061,4.1124311689263884e-05,0.6278127183787561,0.5917540181691126
ratio_partner_to_target,0.17839197081661423,1.2302141508675184e-102,0.6030747728860937,0.5917540181691126
n_partners,0.06110563649013794,2.556162547472337e-13,0.5917540181691126,0.5917540181691126
schema_jaccard,-0.13120695753776654,5.647780706503944e-56,0.5861635220125786,0.5917540181691126
q_median,-0.05386997360879073,1.1312425079426733e-10,0.6058001397624039,0.5917540181691126
i2_median,-0.08722796954260491,1.410486174003226e-25,0.6073375262054508,0.5917540181691126
