dataset,epv_target,gb_ensemble,gb_local,gb_pooled,lr_ensemble,lr_fedavg5,lr_local,lr_merge,lr_pooled,n_partners,n_target,seed,target
mimic-11site,11.0,0.11972754230804389,0.280627321249426,0.14170864145988937,0.02543294866238588,0.026389850099498624,0.37122406614840175,-0.020849754197998838,0.06299375056301715,3,2722,1,CCU-care
mimic-11site,11.0,0.0053182157195289514,0.2939078042786258,0.05194990099078095,-0.02399917154910003,-0.006124563629572699,0.3392103681720656,-0.01720458891817156,0.0061103169278396985,1,2722,0,CCU-care
mimic-11site,11.0,0.05844002817507593,0.280627321249426,0.09800001974087358,0.002385522599447687,0.0023407319746379662,0.37122406614840175,0.00977500264173814,0.05110487993442209,1,2722,1,CCU-care
mimic-11site,11.0,0.0027328676333676083,0.2939078042786258,0.03174200287313034,-0.01677765545204768,-0.006455535047815875,0.3392103681720656,-0.011672054383476183,-0.00369188850959562,1,2722,0,CCU-care
mimic-11site,11.0,0.06372030559280922,0.280627321249426,0.10543473563604855,-0.0025671644320449105,-0.011874144548092103,0.37122406614840175,0.011878998015615705,0.05956401664901051,1,2722,1,CCU-care
mimic-11site,5.962962962962963,0.09435358551869799,0.36680893783471813,0.11657967913858042,0.023223917026535312,0.01939674271823133,0.4230907520385529,0.051880709769499656,0.02922084995433616,3,1535,0,CCU-meta
mimic-11site,5.962962962962963,0.10510590584701984,0.4071517055865961,0.11674051924219653,0.0077052478206619535,-0.01840091046409026,0.419591549385327,0.0703428448435523,0.10912527171759073,3,1535,1,CCU-meta
mimic-11site,5.962962962962963,0.11229688955933742,0.36680893783471813,0.050715124041243065,0.023556174543782504,0.018008455108721344,0.4230907520385529,0.029092931784999665,0.01977915671739744,4,1535,0,CCU-meta
mimic-11site,5.962962962962963,0.12278346977067822,0.4071517055865961,0.0538059848726965,-0.0022164329963184626,-0.033025399429266133,0.419591549385327,-0.001977608425355548,0.08718125747485866,4,1535,1,CCU-meta
mimic-11site,5.962962962962963,0.12808899036887778,0.36680893783471813,0.11047607441384305,0.037314987198949934,0.03584155219559354,0.4230907520385529,0.032225072634241736,0.02560812883959307,3,1535,0,CCU-meta
mimic-11site,5.962962962962963,0.11444528550482724,0.4071517055865961,0.10231020083940845,0.011527109440839511,-0.01446662475228555,0.419591549385327,0.029969517730511874,0.10163049237442107,3,1535,1,CCU-meta
mimic-11site,5.962962962962963,0.10069059789857415,0.36680893783471813,0.054319083533494295,0.015063392247748775,-0.002589886690549603,0.4230907520385529,0.016938977609119832,-0.027142567963226616,3,1535,0,CCU-meta
mimic-11site,5.962962962962963,0.10597264497330317,0.4071517055865961,0.01927873873128272,-0.018103852951677546,-0.029876793037239724,0.419591549385327,-0.05984822411927093,0.06973189131336976,3,1535,1,CCU-meta
mimic-11site,5.962962962962963,0.09322684109828189,0.36680893783471813,0.08555521834599011,0.02447081509876603,0.012877469101730155,0.4230907520385529,0.011661766154335229,0.00745253236448068,2,1535,0,CCU-meta
mimic-11site,5.962962962962963,0.08167824006023328,0.4071517055865961,0.05348048434157576,-0.004309924042585067,-0.02953173731506331,0.419591549385327,-0.00505330009046262,0.08456274092777089,2,1535,1,CCU-meta
mimic-11site,5.962962962962963,0.12614463177633517,0.36680893783471813,0.11703958154325028,0.04451636592652142,0.02883142084918683,0.4230907520385529,0.0462295352155232,0.031210064749709387,4,1535,0,CCU-meta
mimic-11site,5.962962962962963,0.10192743313675867,0.4071517055865961,0.06646421196065555,0.021130735014774693,-0.030143900067473084,0.419591549385327,0.04803202856375077,0.08983333703707824,4,1535,1,CCU-meta
mimic-11site,5.962962962962963,0.13660485995768967,0.36680893783471813,0.08306821506980377,0.06011569845156284,0.02868044987758911,0.4230907520385529,0.042216889402146185,0.032612535105127516,3,1535,0,CCU-meta
mimic-11site,5.962962962962963,0.11434708930305348,0.4071517055865961,0.10636915290818705,0.03317693663149829,-0.033981763674160226,0.419591549385327,0.04722570729119763,0.08431493782685501,3,1535,1,CCU-meta
mimic-11site,5.962962962962963,0.09402341432315803,0.36680893783471813,0.06846068873768307,0.011023839824768344,-0.006751038754204242,0.4230907520385529,-0.0015726703521351526,-0.026132999660540113,2,1535,0,CCU-meta
mimic-11site,5.962962962962963,0.08892262228988923,0.4071517055865961,0.06880059931310661,-0.0365014659845454,-0.03168432645334712,0.419591549385327,-0.043841545809436056,0.06659396129489398,2,1535,1,CCU-meta
mimic-11site,5.962962962962963,0.08849306530688011,0.36680893783471813,0.05074862280419362,0.014039390494921145,-0.0052954406582690905,0.4230907520385529,0.014424594212292363,-0.002301402410851805,2,1535,0,CCU-meta
mimic-11site,5.962962962962963,0.10400482588131987,0.4071517055865961,0.009802111924238854,-0.008334631324913466,-0.036880423518166894,0.419591549385327,0.01043998930201967,0.08556113506732183,2,1535,1,CCU-meta
mimic-11site,5.962962962962963,0.03104390834387072,0.36680893783471813,0.05890320286009754,3.2896597626452806e-05,-0.009614258498349737,0.4230907520385529,0.0021096533297561004,-0.012143250414277662,1,1535,0,CCU-meta
mimic-11site,5.962962962962963,0.08981298100518825,0.4071517055865961,0.05561569776101172,-0.033597642189378274,-0.03629398347998658,0.419591549385327,-0.005220333783057696,0.09134346060820292,1,1535,1,CCU-meta
mimic-11site,4.142857142857143,0.0009720789386071793,0.2466239589709312,0.12605632053312343,0.053213468213139825,0.014783671558357303,0.26576455473012284,0.046870166234248556,0.0676761454411266,4,3483,0,CSRU-care
mimic-11site,4.142857142857143,0.02789333669719596,0.302944208420369,0.12109541774407967,0.04358332863485875,0.02143559116905086,0.3138845145424077,0.06010433563334139,0.06902978995124237,4,3483,1,CSRU-care
