dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,lam_best,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_fix_025,ap_fix_050,ap_fix_075,ap_oracle_binary,ap_oracle_lambda
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,30244,7.222222222222222,0.25,0.125,0.336894008870085,0.2547633580958713,0.2547633580958713,0.336894008870085,0.3335052923056158,0.3335052923056158,0.3282435952245177,0.2990112850956079,0.336894008870085,0.33699716845731587
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,30244,7.222222222222222,0.375,0.125,0.29803286006994156,0.23893501139442708,0.23893501139442708,0.29803286006994156,0.29926532352645413,0.29948031528370345,0.2963960104947793,0.284062836556697,0.29803286006994156,0.30058676425730735
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),3,8420,19385,7.222222222222222,0.125,0.375,0.3173539991193024,0.2889334810567604,0.2889334810567604,0.3173539991193024,0.32096292812376503,0.32633432792004036,0.3354609740166375,0.32768463507815576,0.3173539991193024,0.3364812148341438
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),3,8420,19385,7.222222222222222,0.125,0.0,0.336894008870085,0.24990201088502964,0.24990201088502964,0.336894008870085,0.33497734003386515,0.33188235380788045,0.3221312071485165,0.2954370294684569,0.336894008870085,0.336894008870085
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),3,8420,19385,7.222222222222222,0.375,0.125,0.29803286006994156,0.2431800880216642,0.2431800880216642,0.29803286006994156,0.2987329756160391,0.2979324323427353,0.2953408352502818,0.28093135460840074,0.29803286006994156,0.30061142285373904
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,10505,7.222222222222222,0.375,0.625,0.3173539991193024,0.33121995292848244,0.33121995292848244,0.3173539991193024,0.3302866979999996,0.32453742230004146,0.33371399055763823,0.33359982035890523,0.33121995292848244,0.33435861139600387
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,10505,7.222222222222222,0.5,0.625,0.336894008870085,0.33210282073149305,0.33210282073149305,0.336894008870085,0.3433561183198003,0.34073170865485086,0.3433561183198003,0.34192996943421344,0.336894008870085,0.3451262192052492
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,10505,7.222222222222222,0.375,0.25,0.29803286006994156,0.2743275050384255,0.2743275050384255,0.29803286006994156,0.29663410353276254,0.29973885300373754,0.2931409888873934,0.2877789907081795,0.29803286006994156,0.29973885300373754
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),2,8420,14989,7.222222222222222,0.25,0.625,0.3173539991193024,0.34969353523798846,0.34969353523798846,0.3173539991193024,0.33753740568899915,0.33753740568899915,0.35489381626557515,0.3565860704343911,0.34969353523798846,0.36033521797460377
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),2,8420,14989,7.222222222222222,0.25,0.375,0.336894008870085,0.30403428234658797,0.30403428234658797,0.336894008870085,0.33828582149360564,0.33828582149360564,0.3368169339508891,0.31770293924260423,0.336894008870085,0.3385144989993045
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),2,8420,14989,7.222222222222222,0.625,0.25,0.29803286006994156,0.2824342658819473,0.2824342658819473,0.2824342658819473,0.2985054098628854,0.3021289233577432,0.297907812363236,0.292395572666968,0.29803286006994156,0.3021289233577432
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),3,8420,6834,7.222222222222222,0.0,0.75,0.3173539991193024,0.3610230620941217,0.3610230620941217,0.3173539991193024,0.3173539991193024,0.34693020579805917,0.35800665268213316,0.3620350401213118,0.3610230620941217,0.3620350401213118
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),3,8420,6834,7.222222222222222,0.25,0.125,0.336894008870085,0.3262544929266845,0.3262544929266845,0.336894008870085,0.33621439219787774,0.33621439219787774,0.33261603420167174,0.33199329882378026,0.336894008870085,0.33979973764364485
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),3,8420,6834,7.222222222222222,0.625,0.0,0.29803286006994156,0.2523169991051741,0.2523169991051741,0.2523169991051741,0.2779717485573201,0.29308292867463115,0.2863326251816997,0.26653631033881964,0.29803286006994156,0.29803286006994156
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),3,8420,20528,7.222222222222222,0.125,0.75,0.3173539991193024,0.36289377826716607,0.36289377826716607,0.3173539991193024,0.32950731204809486,0.3400435159927478,0.3556890865048256,0.3661564135581832,0.36289377826716607,0.3661564135581832
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),3,8420,20528,7.222222222222222,0.5,0.375,0.336894008870085,0.31938877718583797,0.31938877718583797,0.336894008870085,0.3419293908116312,0.3396350310249907,0.3419293908116312,0.3353078038415339,0.336894008870085,0.34370999564189997
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),3,8420,20528,7.222222222222222,0.75,0.5,0.29803286006994156,0.2930598774250695,0.2930598774250695,0.2930598774250695,0.30295174022901944,0.3035851551176019,0.3057843578898666,0.30295174022901944,0.29803286006994156,0.3057843578898666
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,1352,7.222222222222222,0.0,1.0,0.3173539991193024,0.36388765219875224,0.36388765219875224,0.3173539991193024,0.3173539991193024,0.34520589164050636,0.35544298339138497,0.35996115395100536,0.36388765219875224,0.36388765219875224
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,1352,7.222222222222222,0.125,1.0,0.336894008870085,0.34728377618951534,0.34728377618951534,0.336894008870085,0.341849783440687,0.34028272354617856,0.340348924559589,0.34554038032812273,0.34728377618951534,0.34728377618951534
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,1352,7.222222222222222,0.75,0.0,0.29803286006994156,0.2781305583781165,0.2781305583781165,0.2781305583781165,0.2859848028972185,0.2952964203709348,0.29301605589205637,0.2859848028972185,0.29803286006994156,0.29803286006994156
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,9049,7.222222222222222,0.25,0.875,0.3173539991193024,0.3378222773521795,0.3378222773521795,0.3173539991193024,0.32775872197120653,0.32775872197120653,0.3365414362731213,0.3389036743901625,0.3378222773521795,0.3402433309485869
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,9049,7.222222222222222,0.375,0.875,0.336894008870085,0.3600893305293682,0.3600893305293682,0.336894008870085,0.3491017429788742,0.34366553101776626,0.35402604588593173,0.35888656178934253,0.3600893305293682,0.36048181143270636
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,9049,7.222222222222222,0.625,0.125,0.29803286006994156,0.28026505101762095,0.28026505101762095,0.28026505101762095,0.29131260722546726,0.29801710481180843,0.29331499098073177,0.287910068144792,0.29803286006994156,0.2980500935827498
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),2,8420,16044,7.222222222222222,0.25,0.75,0.3173539991193024,0.3343531588941512,0.3343531588941512,0.3173539991193024,0.3273590765303023,0.3273590765303023,0.33511000503251964,0.33880462078831064,0.3343531588941512,0.33880462078831064
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),2,8420,16044,7.222222222222222,0.25,0.75,0.336894008870085,0.34425209987933975,0.34425209987933975,0.336894008870085,0.3423388768933374,0.3423388768933374,0.34811832536667164,0.3513113349199263,0.34425209987933975,0.3513113349199263
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),2,8420,16044,7.222222222222222,0.625,0.375,0.29803286006994156,0.2892325762778315,0.2892325762778315,0.2892325762778315,0.299328180070625,0.30062335647698035,0.29928116272343647,0.2961200960407676,0.29803286006994156,0.3014038388303742
mimic4_sites,Coronary Care Unit (CCU),3,5371,23508,19.970588235294116,0.625,0.375,0.4292439102388943,0.41517354372393533,0.4292439102388943,0.4292439102388943,0.42665626300285936,0.43311689753074056,0.42999031907154533,0.4243018518383205,0.4292439102388943,0.43312314611433766
mimic4_sites,Coronary Care Unit (CCU),3,5371,23508,19.970588235294116,0.375,0.375,0.4261148460872595,0.42667321315186907,0.4261148460872595,0.4261148460872595,0.43663406880822275,0.4346703554025977,0.43640220313203143,0.43177800273571304,0.42667321315186907,0.43663406880822275
