dataset,target,n_partners,n_target,n_min,n_partner_total,d_target,ratio_partner_to_target,events_target,epv_target,schema_jaccard,q_median,i2_median,benefit,helped
heart-4site,hungarian,2,205,86,298,10,1.4536585365853658,106,7.4,0.6153846153846154,24.74455192595989,0.9352035261484697,0.03465245950759255,1
heart-4site,hungarian,3,205,86,438,10,2.1365853658536587,106,7.4,0.6153846153846154,17.735523564264227,0.902353930497168,0.016230204378124058,1
heart-4site,hungarian,3,205,86,438,10,2.1365853658536587,106,7.4,0.6153846153846154,40.41328698561657,0.9267592399934287,0.029757351567281987,1
heart-4site,hungarian,2,205,140,352,10,1.7170731707317073,106,7.4,0.7692307692307693,13.265380682359169,0.8533932875908723,0.02317869286938401,1
heart-4site,hungarian,2,205,140,352,10,1.7170731707317073,106,7.4,0.7692307692307693,28.7967125470742,0.9010527674020488,0.03267869770392551,1
heart-4site,hungarian,1,205,86,86,10,0.4195121951219512,106,7.4,0.6666666666666666,2.9609694294378173,0.5167390978209745,0.004669046601446847,1
heart-4site,hungarian,1,205,86,86,10,0.4195121951219512,106,7.4,0.6666666666666666,7.115842401717954,0.8573283570845098,0.00923354249831887,1
heart-4site,hungarian,1,205,140,140,10,0.6829268292682927,106,7.4,0.9090909090909091,1.1950153203184888,0.20483068593249898,0.00018609371680244902,1
heart-4site,hungarian,1,205,140,140,10,0.6829268292682927,106,7.4,1.0,8.291476425649368,0.8790893697866891,0.00513125095874245,1
heart-4site,switzerland,2,86,86,417,10,4.848837209302325,115,0.6,0.6153846153846154,8.794090433034548,0.83563878033092,0.005091342519913944,1
heart-4site,switzerland,2,86,86,417,10,4.848837209302325,115,0.6,0.6153846153846154,24.74455192595989,0.9352035261484697,0.013611605325891007,1
heart-4site,switzerland,3,86,86,557,10,6.476744186046512,115,0.6,0.6153846153846154,17.735523564264227,0.902353930497168,0.006076564194790857,1
heart-4site,switzerland,3,86,86,557,10,6.476744186046512,115,0.6,0.6153846153846154,40.41328698561657,0.9267592399934287,0.013611605325891007,1
heart-4site,switzerland,2,86,86,352,10,4.093023255813954,115,0.6,0.6923076923076923,12.249578574935498,0.8886461217087844,0.005091342519913944,1
heart-4site,switzerland,2,86,86,352,10,4.093023255813954,115,0.6,0.6153846153846154,21.323701992185704,0.8887438708366732,0.015365094544891877,1
heart-4site,switzerland,1,86,86,205,10,2.383720930232558,115,0.6,0.6666666666666666,2.9609694294378173,0.5167390978209745,0.00807248621951473,1
heart-4site,switzerland,1,86,86,205,10,2.383720930232558,115,0.6,0.6666666666666666,7.115842401717954,0.8573283570845098,-0.011525201849371558,0
heart-4site,switzerland,2,86,86,345,10,4.011627906976744,115,0.6,0.6666666666666666,6.881791127046396,0.7093779856032361,0.00807248621951473,1
heart-4site,switzerland,2,86,86,345,10,4.011627906976744,115,0.6,0.6666666666666666,15.91913176168725,0.89595756704223,-0.012416138869340787,0
heart-4site,switzerland,1,86,86,140,10,1.627906976744186,115,0.6,0.75,2.802814861363981,0.6432158207148391,0.007179629076657479,1
