dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_oracle
freddiemac_zip2,00,3,438,63837,3.375,0.875,0.1842486569228141,0.17335017717907134,0.17335017717907134,0.17335017717907134,0.172940614531365,0.1842486569228141
freddiemac_zip2,00,3,438,63837,3.375,0.25,0.25211356939105695,0.28134069415868024,0.28134069415868024,0.28134069415868024,0.26448339127840137,0.28134069415868024
freddiemac_zip2,00,3,438,63837,3.375,0.875,0.17135550581994335,0.18198122354181942,0.18198122354181942,0.18198122354181942,0.1835480692981118,0.18198122354181942
freddiemac_zip2,00,4,438,88240,3.375,0.875,0.1842486569228141,0.17490841348300024,0.17490841348300024,0.17490841348300024,0.17704992174302456,0.1842486569228141
freddiemac_zip2,00,4,438,88240,3.375,0.375,0.25211356939105695,0.32494206914085605,0.32494206914085605,0.25211356939105695,0.29778713966190856,0.32494206914085605
freddiemac_zip2,00,4,438,88240,3.375,1.0,0.17135550581994335,0.188014689580986,0.188014689580986,0.188014689580986,0.188014689580986,0.188014689580986
freddiemac_zip2,00,1,438,17995,3.375,0.75,0.1842486569228141,0.17413826091190096,0.17413826091190096,0.17413826091190096,0.17201684927073616,0.1842486569228141
freddiemac_zip2,00,1,438,17995,3.375,0.25,0.25211356939105695,0.27562894640727476,0.27562894640727476,0.25211356939105695,0.28656251731282706,0.27562894640727476
freddiemac_zip2,00,1,438,17995,3.375,0.875,0.17135550581994335,0.2245290097805894,0.2245290097805894,0.2245290097805894,0.20606037578475678,0.2245290097805894
freddiemac_zip2,00,3,438,32237,3.375,0.875,0.1842486569228141,0.17939215411228052,0.17939215411228052,0.17939215411228052,0.18242482662595386,0.1842486569228141
freddiemac_zip2,00,3,438,32237,3.375,0.25,0.25211356939105695,0.2709423729901225,0.2709423729901225,0.2709423729901225,0.27400876535056923,0.2709423729901225
freddiemac_zip2,00,3,438,32237,3.375,1.0,0.17135550581994335,0.18688352583365309,0.18688352583365309,0.18688352583365309,0.18688352583365309,0.18688352583365309
freddiemac_zip2,00,4,438,121734,3.375,0.875,0.1842486569228141,0.17238417367423842,0.17238417367423842,0.17238417367423842,0.17964921174043527,0.1842486569228141
freddiemac_zip2,00,4,438,121734,3.375,0.25,0.25211356939105695,0.309688295192168,0.309688295192168,0.25211356939105695,0.2854433729743911,0.309688295192168
freddiemac_zip2,00,4,438,121734,3.375,0.875,0.17135550581994335,0.1909324833864493,0.1909324833864493,0.1909324833864493,0.19124938031378297,0.1909324833864493
freddiemac_zip2,00,1,438,10904,3.375,0.625,0.1842486569228141,0.17922433938161947,0.17922433938161947,0.17922433938161947,0.17882248934482642,0.1842486569228141
freddiemac_zip2,00,1,438,10904,3.375,0.25,0.25211356939105695,0.32565480330749524,0.32565480330749524,0.25211356939105695,0.29653099459916016,0.32565480330749524
freddiemac_zip2,00,1,438,10904,3.375,1.0,0.17135550581994335,0.18540623617105395,0.18540623617105395,0.18540623617105395,0.18540623617105395,0.18540623617105395
freddiemac_zip2,00,2,438,42627,3.375,1.0,0.1842486569228141,0.17595027152470022,0.17595027152470022,0.17595027152470022,0.17595027152470022,0.1842486569228141
freddiemac_zip2,00,2,438,42627,3.375,0.25,0.25211356939105695,0.30086649248232045,0.30086649248232045,0.25211356939105695,0.2734056129089439,0.30086649248232045
freddiemac_zip2,00,2,438,42627,3.375,1.0,0.17135550581994335,0.18814727819807572,0.18814727819807572,0.18814727819807572,0.18814727819807572,0.18814727819807572
freddiemac_zip2,00,3,438,69450,3.375,0.875,0.1842486569228141,0.17647654853481592,0.17647654853481592,0.17647654853481592,0.1792106360492017,0.1842486569228141
freddiemac_zip2,00,3,438,69450,3.375,0.375,0.25211356939105695,0.31557865263457696,0.31557865263457696,0.25211356939105695,0.29400081391151567,0.31557865263457696
freddiemac_zip2,00,3,438,69450,3.375,0.875,0.17135550581994335,0.1867252145409899,0.1867252145409899,0.1867252145409899,0.18678988369944197,0.1867252145409899
freddiemac_zip2,00,3,438,84404,3.375,0.875,0.1842486569228141,0.1753052237627904,0.1753052237627904,0.1753052237627904,0.17914709369139653,0.1842486569228141
freddiemac_zip2,00,3,438,84404,3.375,0.25,0.25211356939105695,0.316204024891565,0.316204024891565,0.25211356939105695,0.27473793331399166,0.316204024891565
freddiemac_zip2,00,3,438,84404,3.375,1.0,0.17135550581994335,0.17294836541994668,0.17294836541994668,0.17294836541994668,0.17294836541994668,0.17294836541994668
freddiemac_zip2,00,1,438,8237,3.375,0.875,0.1842486569228141,0.1868170739063119,0.1868170739063119,0.1868170739063119,0.1825390663175635,0.1868170739063119
freddiemac_zip2,00,1,438,8237,3.375,0.375,0.25211356939105695,0.3132825566084644,0.3132825566084644,0.25211356939105695,0.2861137331789559,0.3132825566084644
freddiemac_zip2,00,1,438,8237,3.375,0.875,0.17135550581994335,0.22832635072791513,0.22832635072791513,0.22832635072791513,0.20467690334108485,0.22832635072791513
freddiemac_zip2,00,2,438,190782,3.375,0.875,0.1842486569228141,0.16607848599720654,0.16607848599720654,0.16607848599720654,0.16921989927256445,0.1842486569228141
freddiemac_zip2,00,2,438,190782,3.375,0.25,0.25211356939105695,0.2696342957260709,0.2696342957260709,0.25211356939105695,0.2788142574294137,0.2696342957260709
freddiemac_zip2,00,2,438,190782,3.375,1.0,0.17135550581994335,0.17541900885748907,0.17541900885748907,0.17541900885748907,0.17541900885748907,0.17541900885748907
freddiemac_zip2,00,1,438,10724,3.375,0.75,0.1842486569228141,0.17328693773210455,0.17328693773210455,0.17328693773210455,0.17876692651725457,0.1842486569228141
freddiemac_zip2,00,1,438,10724,3.375,0.375,0.25211356939105695,0.25835042073509923,0.25835042073509923,0.25211356939105695,0.2822790097587144,0.25835042073509923
freddiemac_zip2,00,1,438,10724,3.375,0.875,0.17135550581994335,0.20316553409990615,0.20316553409990615,0.20316553409990615,0.20563301676202012,0.20316553409990615
freddiemac_zip2,01,3,24488,46538,41.3125,0.375,0.09274115069673294,0.09311603915206701,0.09274115069673294,0.09274115069673294,0.09351780635077032,0.09311603915206701
freddiemac_zip2,01,3,24488,46538,41.3125,1.0,0.09253657986000548,0.08931138141571808,0.09253657986000548,0.08931138141571808,0.08931138141571808,0.09253657986000548
freddiemac_zip2,01,3,24488,46538,41.3125,0.0,0.07672040905124147,0.07705574077974266,0.07672040905124147,0.07672040905124147,0.07672040905124147,0.07705574077974266
freddiemac_zip2,01,4,24488,157084,41.3125,0.25,0.09274115069673294,0.08896382287848156,0.09274115069673294,0.08896382287848156,0.092276588476138,0.09274115069673294
freddiemac_zip2,01,4,24488,157084,41.3125,1.0,0.09253657986000548,0.08812151134706413,0.09253657986000548,0.08812151134706413,0.08812151134706413,0.09253657986000548
freddiemac_zip2,01,4,24488,157084,41.3125,0.0,0.07672040905124147,0.07572100782302513,0.07672040905124147,0.07672040905124147,0.07672040905124147,0.07672040905124147
freddiemac_zip2,01,3,24488,143979,41.3125,0.25,0.09274115069673294,0.08788752976455656,0.09274115069673294,0.09274115069673294,0.09179860006149035,0.09274115069673294
freddiemac_zip2,01,3,24488,143979,41.3125,1.0,0.09253657986000548,0.09154512551867698,0.09253657986000548,0.09154512551867698,0.09154512551867698,0.09253657986000548
freddiemac_zip2,01,3,24488,143979,41.3125,0.0,0.07672040905124147,0.0744510095338011,0.07672040905124147,0.07672040905124147,0.07672040905124147,0.07672040905124147
freddiemac_zip2,01,2,24488,46641,41.3125,0.0,0.09274115069673294,0.08642438582408968,0.09274115069673294,0.09274115069673294,0.09274115069673294,0.09274115069673294
freddiemac_zip2,01,2,24488,46641,41.3125,1.0,0.09253657986000548,0.08823522643712657,0.09253657986000548,0.08823522643712657,0.08823522643712657,0.09253657986000548
freddiemac_zip2,01,2,24488,46641,41.3125,0.125,0.07672040905124147,0.07436148074344562,0.07672040905124147,0.07672040905124147,0.0765766662908036,0.07672040905124147
freddiemac_zip2,01,4,24488,111324,41.3125,0.25,0.09274115069673294,0.08857657277293526,0.09274115069673294,0.09274115069673294,0.09235018975086581,0.09274115069673294
freddiemac_zip2,01,4,24488,111324,41.3125,1.0,0.09253657986000548,0.08713417815582183,0.09253657986000548,0.08713417815582183,0.08713417815582183,0.09253657986000548
freddiemac_zip2,01,4,24488,111324,41.3125,0.0,0.07672040905124147,0.07508915688400113,0.07672040905124147,0.07672040905124147,0.07672040905124147,0.07672040905124147
freddiemac_zip2,01,2,24488,141033,41.3125,0.375,0.09274115069673294,0.0859298817492955,0.09274115069673294,0.09274115069673294,0.09178989697767423,0.09274115069673294
freddiemac_zip2,01,2,24488,141033,41.3125,0.625,0.09253657986000548,0.08926959577517338,0.09253657986000548,0.08926959577517338,0.09345822342891315,0.09253657986000548
freddiemac_zip2,01,2,24488,141033,41.3125,0.0,0.07672040905124147,0.07404950905449065,0.07672040905124147,0.07672040905124147,0.07672040905124147,0.07672040905124147
freddiemac_zip2,01,3,24488,43766,41.3125,0.375,0.09274115069673294,0.09243449228219816,0.09274115069673294,0.09243449228219816,0.09284162780922905,0.09274115069673294
freddiemac_zip2,01,3,24488,43766,41.3125,1.0,0.09253657986000548,0.09164894185091423,0.09253657986000548,0.09164894185091423,0.09164894185091423,0.09253657986000548
freddiemac_zip2,01,3,24488,43766,41.3125,0.5,0.07672040905124147,0.07590973307701093,0.07672040905124147,0.07590973307701093,0.07609387819070149,0.07672040905124147
