method,stratum,brier,ece,slope,auprc,dataset
pattern,all,0.17369096502162182,0.10797882816885414,0.8215946289368721,0.9129202304263946,eucalyptus
pooled,all,0.16076130439999914,0.152683218043891,1.6282658043959262,0.9388817305982546,eucalyptus
pattern,all,0.1524690887551731,0.09497827639887256,1.2059485813360848,0.9399925843815858,eucalyptus
pooled,all,0.18045002499721716,0.09862845959864038,0.8064116246000024,0.9080178247196306,eucalyptus
pattern,all,0.1834842435535152,0.07063054761209858,0.7487423017476539,0.9000413608632781,eucalyptus
pooled,all,0.1625181369461337,0.11850956346769724,0.7148538173579398,0.9384828957159339,eucalyptus
pooled,high_miss,0.09173248692730933,0.05677983555135017,1.7192028855042552,0.9826595474192725,eucalyptus
pattern,all,0.14620497933656224,0.07513031661839299,1.6890789672178745,0.9433821671068813,eucalyptus
pattern,high_miss,0.07981994832768055,0.06247044668325888,2.121550856147011,0.9840329315642984,eucalyptus
pooled,all,0.1498247433666624,0.13379753565195673,2.097278324783123,0.9512098861717426,eucalyptus
pooled,high_miss,0.07993703902706917,0.14799127493344655,1.2448300934764076,0.9869950615292233,eucalyptus
pattern,all,0.14953776765042004,0.12822735941134708,1.2324512498436866,0.9445050308820901,eucalyptus
pattern,high_miss,0.0908710219076155,0.14958833484592557,1.0464729411349305,0.9869950615292233,eucalyptus
pooled,all,0.013781842368387708,0.02094052357225716,1.2587607593106422,0.9478067578982964,hypothyroid
pooled,high_miss,0.010590407490381315,0.013788614806892897,0.6572105390485447,0.8897693576265004,hypothyroid
pattern,all,0.027943073830949194,0.05080663763827504,2.9148135946040146,0.9116695695714028,hypothyroid
pattern,high_miss,0.023498037047826152,0.04367265538218054,2.903185315242201,0.8828935371228603,hypothyroid
pooled,all,0.02290909952249941,0.02509554594549411,0.9968628568643157,0.8896906752809104,hypothyroid
pooled,high_miss,0.011339134692532069,0.0056683717951000615,1.8266460853117488,0.8978365384615384,hypothyroid
pattern,all,0.03632709644887823,0.05070165832586162,2.418739170190653,0.8345847815164116,hypothyroid
pattern,high_miss,0.019064403010708518,0.03994940596855358,5.036066691269355,0.8943452380952381,hypothyroid
pooled,all,0.021663432893861502,0.016236232990132927,0.7133800774989805,0.8629916180093433,hypothyroid
pooled,high_miss,0.02753359804383588,0.019432750937266804,0.4877799700734638,0.7938109518335157,hypothyroid
pattern,all,0.0363894296955231,0.04165577251839108,2.334609393365569,0.8170936061374555,hypothyroid
pattern,high_miss,0.04076092515087855,0.031103489118224845,1.8894881842419846,0.7073454745755009,hypothyroid
pooled,all,0.016515387339077568,0.02114145913538366,1.1324461586688417,0.8997407343391954,hypothyroid
pooled,high_miss,0.015582028658923169,0.029228931528394182,3.9206500312211032,0.9789786347231201,hypothyroid
pattern,all,0.029364433351555107,0.05371526344075882,2.786584350000829,0.9022465039038051,hypothyroid
