dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,lam_best,lam_1se,lam_cv,lam_cw,d_local,d_extra,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_fix_025,ap_fix_050,ap_fix_075,ap_oracle_binary,ap_oracle_lambda,ap_blend_cw,ap_blend_1se,ap_blend_cv,ap_oracle_extrap,ap_oracle_rich,ap_oracle_half,ap_oracle_honest,ap_blend_half,ap_ditto,ap_oracle_ditto,ap_oracle_lambda_cw,ap_gate_loso,cut_loso,ap_gate_bestcut
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,0.25,0.875,0.25,0.625,0.75,36,3,0.3389778163096794,0.34293972437929093,0.34293972437929093,0.3389778163096794,0.34028757468072784,0.34028757468072784,0.34354609893301663,0.34379463128701815,0.34293972437929093,0.3452530848237632,0.34498660852484864,0.34028757468072784,0.3446093626640509,0.3452530848237632,0.3452530848237632,0.3517951684062579,0.34211608303719326,0.3411463008506639,0.33657895539384414,0.3392392241411666,0.346452101036015,0.3389778163096794,2.103448275862069,0.3389778163096794
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,0.625,0.75,0.625,0.75,0.75,36,3,0.3369051347496993,0.34060215991219217,0.34060215991219217,0.3369051347496993,0.3394212408293943,0.3399031160197868,0.3401180436125643,0.3418339245043134,0.34060215991219217,0.3418339245043134,0.3376922664502664,0.3394212408293943,0.3418339245043134,0.3418339245043134,0.3418339245043134,0.3545159056766577,0.3262422168050668,0.34361911255913724,0.34624759538314015,0.3475653195562965,0.34060215991219217,0.3369051347496993,2.103448275862069,0.3369051347496993
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,0.5,0.625,0.5,0.5,0.0,36,3,0.343404407016364,0.3557352303894119,0.3557352303894119,0.3557352303894119,0.35409552362918895,0.34897267032603846,0.35409552362918895,0.3555878249937316,0.3557352303894119,0.35669488115812886,0.34677095969428845,0.35409552362918895,0.35409552362918895,0.35669488115812886,0.35669488115812886,0.36665461098377305,0.3591106337587453,0.363373558960948,0.3529820484420019,0.3548482446008386,0.3568390214501395,0.343404407016364,2.103448275862069,0.343404407016364
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,1.0,0.875,0.75,0.375,1.0,36,3,0.2914304202648666,0.3030256052324617,0.3030256052324617,0.3030256052324617,0.3030256052324617,0.29636006952653016,0.3019443091338673,0.3046601523039103,0.3030256052324617,0.3061389630332389,0.3030256052324617,0.3046601523039103,0.2997737927411446,0.3061389630332389,0.3061389630332389,0.32219498099113836,0.3085770282052881,0.3177425668841899,0.29972862907596637,0.3028104693251106,0.30577975067159074,0.2914304202648666,2.103448275862069,0.2914304202648666
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,0.25,0.875,0.0,0.625,0.125,36,3,0.30618006331435954,0.325985587538969,0.325985587538969,0.30618006331435954,0.3128460428869062,0.3128460428869062,0.3213264134445366,0.32616839647135215,0.325985587538969,0.3262874315117726,0.3226841771830352,0.30618006331435954,0.3218509614947346,0.3262874315117726,0.3262874315117726,0.3466162427125843,0.3407472120452821,0.3316669056465348,0.31841509906937565,0.3198472042269279,0.3300696744785372,0.30618006331435954,2.103448275862069,0.30618006331435954
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.25,0.5,0.0,0.25,0.0,36,6,0.3173539991193024,0.29826700033214665,0.29826700033214665,0.3173539991193024,0.3290493916782048,0.3290493916782048,0.3377173774628579,0.3337583226715957,0.3173539991193024,0.3377173774628579,0.3520850378605316,0.3173539991193024,0.3290493916782048,0.3377173774628579,0.3377173774628579,0.34725809257935686,0.3237213298212752,0.33247715771262754,0.2954857877204381,0.2954857877204381,0.3520850378605316,0.3173539991193024,2.103448275862069,0.3173539991193024
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.125,0.0,0.0,0.375,0.0,36,6,0.336894008870085,0.26312952296689013,0.26312952296689013,0.336894008870085,0.3356492606373816,0.3334992071847459,0.32536469490543796,0.3010638548467794,0.336894008870085,0.336894008870085,0.3301549203588087,0.336894008870085,0.33087543139474146,0.336894008870085,0.336894008870085,0.34779555868492373,0.32047002624210785,0.33972538006782893,0.29264388799292473,0.29264388799292473,0.3301549203588087,0.336894008870085,2.103448275862069,0.336894008870085
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.125,0.375,0.0,0.25,0.0,36,6,0.29803286006994156,0.24891306127894397,0.24891306127894397,0.29803286006994156,0.3003844728268389,0.29870403464397066,0.2990116534108647,0.28654598982392737,0.29803286006994156,0.30118387669638613,0.30767598947465463,0.29803286006994156,0.29870403464397066,0.30118387669638613,0.30118387669638613,0.31112256373935665,0.3039033157908541,0.3050707869061149,0.30513279022012035,0.30513279022012035,0.3078842419374787,0.29803286006994156,2.103448275862069,0.29803286006994156
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.5,0.0,0.125,0.25,0.5,36,6,0.32187521962290294,0.25713807432573543,0.25713807432573543,0.32187521962290294,0.31560175211402963,0.32075823512872914,0.31560175211402963,0.301476856416989,0.32187521962290294,0.32187521962290294,0.31679089706045555,0.32158059430030284,0.32075823512872914,0.32187521962290294,0.32187521962290294,0.3388061518484667,0.3334977576402471,0.33742710999710446,0.30655204957783544,0.30655204957783544,0.32972330774483827,0.32187521962290294,2.103448275862069,0.32187521962290294
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.375,0.125,0.125,0.125,0.0,36,6,0.35158335467847635,0.27325255634594,0.27325255634594,0.35158335467847635,0.34545501319147387,0.3506195685268068,0.3408958639708595,0.31900304795970796,0.35158335467847635,0.35213369179402154,0.34774613979166047,0.35213369179402154,0.35213369179402154,0.35213369179402154,0.35213369179402154,0.3595945594527852,0.35201469086404547,0.3497894555964547,0.30881583133568036,0.30881583133568036,0.34774613979166047,0.35158335467847635,2.103448275862069,0.35158335467847635
