feature,rho,p,loso_acc,majority
epv_target,-0.4747389533520235,3.023166496354864e-41,0.679324894514768,0.6104078762306611
n_target,-0.4006388560986311,8.586243730824481e-29,0.7018284106891702,0.6104078762306611
n_min,-0.010036882069018411,0.7893420379851567,0.6722925457102672,0.6104078762306611
n_partner_total,-0.343861272110254,3.6496652292829665e-21,0.6469760900140648,0.6104078762306611
ratio_partner_to_target,0.04264790034813063,0.25608032123714386,0.60056258790436,0.6104078762306611
n_partners,-0.18271430927391502,9.353439642521339e-07,0.5935302390998594,0.6104078762306611
schema_jaccard,0.11929014112467515,0.0014395051996199425,0.5766526019690577,0.6104078762306611
q_median,-0.2505372548771062,1.2261813793263228e-11,0.6708860759493671,0.6104078762306611
i2_median,-0.2082867922475519,2.074126419880512e-08,0.630098452883263,0.6104078762306611
