feature,rho,p,loso_acc,majority
epv_target,-0.2413986554710943,2.6270715180723035e-48,0.5181434599156118,0.5108298171589312
n_target,-0.19634957125374272,3.143005910666763e-32,0.5513361462728551,0.5108298171589312
n_min,-0.06811122946977803,4.816777527723974e-05,0.5153305203938116,0.5108298171589312
n_partner_total,0.011083768988477337,0.5088402980665248,0.42306610407876233,0.5108298171589312
ratio_partner_to_target,0.17086802913908677,1.069753240867444e-24,0.529676511954993,0.5108298171589312
n_partners,-0.00016869768201108694,0.9919775151172,0.4028129395218003,0.5108298171589312
schema_jaccard,nan,nan,0.510829817158931,0.5108298171589312
q_median,-0.029324316967329535,0.08043132858190447,0.45963431786216596,0.5108298171589312
i2_median,-0.04613024713655799,0.0059421121165814895,0.5127988748241913,0.5108298171589312
