n_sites,d,het,overlap,pooled,local,ensemble,fedavg,merged,merged_minus_local,p_local,merged_minus_fedavg,p_fedavg
3,24,0.0,0.3,0.6062939225234592,0.5988853811258255,0.5581814288651228,0.47476082461507546,0.606485826259056,0.00760044513323066,0.1953125,0.13172500164398054,0.0078125
3,24,0.0,0.7,0.784173814653883,0.7717378456073776,0.7694084445641605,0.7446872915195347,0.7836277085092578,0.011889862901880058,0.0546875,0.03894041698972292,0.0078125
3,24,1.0,0.3,0.5709883562492635,0.6209503664118996,0.5298358028260042,0.4340489468611114,0.5688020276587162,-0.05214833875318335,0.0078125,0.13475308079760473,0.0078125
3,24,1.0,0.7,0.6506008246455407,0.8108727704985508,0.6456486126463701,0.5984851189417841,0.6512111710080977,-0.15966159949045308,0.0078125,0.05272605206631351,0.0078125
3,60,0.0,0.3,0.5916228759822358,0.5686624454237137,0.5420537337115975,0.4624295607519996,0.5885139983228673,0.01985155289915369,0.015625,0.12608443757086774,0.0078125
3,60,0.0,0.7,0.7757809146585387,0.7265039647464555,0.7453175154377503,0.7130373564104848,0.7731755600514437,0.046671595304988295,0.0078125,0.06013820364095887,0.0078125
3,60,1.0,0.3,0.5263599896840845,0.5697865108871987,0.4557908369893473,0.36985799327032665,0.5206707614635971,-0.0491157494236015,0.015625,0.1508127681932705,0.0078125
3,60,1.0,0.7,0.5898803887158877,0.706761330347708,0.5604911998819488,0.5301982147689439,0.591028963034278,-0.11573236731343012,0.0078125,0.06083074826533412,0.0078125
5,24,0.0,0.3,0.5583550583979828,0.5524182544671887,0.5047043459629664,0.4742751621300685,0.5589272362325,0.006508981765311339,0.0546875,0.08465207410243156,0.0078125
5,24,0.0,0.7,0.765948400348055,0.7448445933796144,0.7472118640866108,0.7366156147797314,0.7645539724504966,0.019709379070882146,0.015625,0.027938357670765204,0.0078125
5,24,1.0,0.3,0.49999004568195915,0.5740097164969898,0.45170601012222533,0.40551008689605983,0.5006584909619113,-0.07335122553507856,0.0078125,0.09514840406585151,0.0078125
5,24,1.0,0.7,0.5806877585170478,0.7697396598573382,0.5799427007369526,0.5610894020447229,0.5828007816118415,-0.18693887824549665,0.0078125,0.021711379567118563,0.0390625
5,60,0.0,0.3,0.5490652150113444,0.5150160790932372,0.5008144749901206,0.47068357593512183,0.5461191620451368,0.031103082951899605,0.0078125,0.07543558611001493,0.0078125
5,60,0.0,0.7,0.7653757491360464,0.7153246836987162,0.740386751779782,0.7277899135713861,0.7638373655013078,0.04851268180259158,0.0078125,0.03604745192992173,0.0078125
5,60,1.0,0.3,0.46052991472761035,0.5179930584538599,0.41830015683239596,0.3876566677372121,0.45664011934761184,-0.06135293910624809,0.0078125,0.06898345161039973,0.0078125
5,60,1.0,0.7,0.5692698494881225,0.7108021761460497,0.5438280809333634,0.5350546837167973,0.567671101253807,-0.14313107489224258,0.0078125,0.03261641753700983,0.0078125
