feature,rho,p,loso_acc,majority
epv_target,-0.2356134626190753,9.627078998344088e-40,0.5757377049180328,0.5973770491803279
n_target,-0.28650545630884705,1.0277184815914678e-58,0.5659016393442623,0.5973770491803279
n_min,-0.13777895988042352,2.1313375303482443e-14,0.5750819672131148,0.5973770491803279
n_partner_total,0.06103961526837573,0.0007441170112729132,0.5829508196721311,0.5973770491803279
ratio_partner_to_target,0.25629304700233885,6.028120028392095e-47,0.598688524590164,0.5973770491803279
n_partners,0.04525829208175245,0.012428898570001425,0.5973770491803279,0.5973770491803279
schema_jaccard,nan,nan,0.5973770491803279,0.5973770491803279
q_median,0.026701458147303934,0.14040228994533085,0.5960655737704919,0.5973770491803279
i2_median,0.01838935949781138,0.3099842351568657,0.5957377049180328,0.5973770491803279
