dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,lam_best,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_fix_025,ap_fix_050,ap_fix_075,ap_oracle_binary,ap_oracle_lambda,ap_gate_loso,cut_loso,ap_gate_bestcut
acs_span_income,1,3,3054,1571,94.8,0.125,0.625,0.7344440664102831,0.7348235448459559,0.7344440664102831,0.7344440664102831,0.7348759973280969,0.7349460086533394,0.7350061471005744,0.7351101387860282,0.7348235448459559,0.7351456876654417,0.7344440664102831,20.2,0.7344440664102831
acs_span_income,1,3,3054,1571,94.8,0.875,1.0,0.7093700183343655,0.7107593317498535,0.7093700183343655,0.7107593317498535,0.7106209949980719,0.7099046083384934,0.710546986749481,0.7103283928410367,0.7107593317498535,0.7107593317498535,0.7093700183343655,20.2,0.7093700183343655
acs_span_income,1,4,3054,22577,94.8,0.625,1.0,0.6686248021314136,0.6755392841968179,0.6686248021314136,0.6755392841968179,0.6742118001303197,0.6709378912498507,0.6739044885932437,0.6750575848602338,0.6755392841968179,0.6755392841968179,0.6686248021314136,20.2,0.6686248021314136
acs_span_income,1,4,3054,22577,94.8,0.25,0.625,0.7344440664102831,0.7355879048931414,0.7344440664102831,0.7344440664102831,0.7359757665113683,0.7359757665113683,0.7362020482166882,0.7362965600551616,0.7355879048931414,0.7365236485682642,0.7344440664102831,20.2,0.7344440664102831
acs_span_income,1,4,3054,22577,94.8,0.875,0.5,0.7093700183343655,0.7089465645010097,0.7093700183343655,0.7089465645010097,0.7089963038212218,0.7094812982840908,0.7099108922902273,0.7094280265657498,0.7093700183343655,0.7099108922902273,0.7093700183343655,20.2,0.7093700183343655
acs_span_income,1,1,3054,1810,94.8,0.875,1.0,0.6686248021314136,0.6767281132140994,0.6686248021314136,0.6767281132140994,0.6760465201728978,0.6702265183560578,0.6731709268861936,0.6746326793634799,0.6767281132140994,0.6767281132140994,0.6686248021314136,20.2,0.6686248021314136
acs_span_income,1,1,3054,1810,94.8,0.125,0.875,0.7344440664102831,0.7354921870424185,0.7344440664102831,0.7344440664102831,0.7349530445653512,0.73508024327296,0.7353140106866228,0.7355553288340135,0.7354921870424185,0.7356313194042781,0.7344440664102831,20.2,0.7344440664102831
acs_span_income,1,1,3054,1810,94.8,1.0,1.0,0.7093700183343655,0.713080648117014,0.7093700183343655,0.713080648117014,0.713080648117014,0.7106765108058021,0.7115662471794061,0.7124461248377947,0.713080648117014,0.713080648117014,0.7093700183343655,20.2,0.7093700183343655
acs_span_income,1,2,3054,5274,94.8,0.125,0.0,0.6686248021314136,0.6669792092474112,0.6686248021314136,0.6686248021314136,0.6685849893124888,0.6681078545949934,0.6685634583271665,0.667638931074404,0.6686248021314136,0.6686248021314136,0.6686248021314136,20.2,0.6686248021314136
acs_span_income,1,2,3054,5274,94.8,0.125,0.25,0.7344440664102831,0.733465985472251,0.7344440664102831,0.7344440664102831,0.7353629269597658,0.7354889801185862,0.7354851183323579,0.7346100655191796,0.7344440664102831,0.7354889801185862,0.7344440664102831,20.2,0.7344440664102831
acs_span_income,1,2,3054,5274,94.8,0.125,0.0,0.7093700183343655,0.7008460564967065,0.7093700183343655,0.7093700183343655,0.7087560134230603,0.7072288603560989,0.7052794241279878,0.7031976670619453,0.7093700183343655,0.7093700183343655,0.7093700183343655,20.2,0.7093700183343655
