dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,lam_best,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_fix_025,ap_fix_050,ap_fix_075,ap_oracle_binary,ap_oracle_lambda
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.375,0.375,0.33920629283910225,0.3194254911977108,0.33920629283910225,0.33920629283910225,0.3424806795950231,0.3412288387526961,0.33693057927017167,0.32940670173543785,0.33920629283910225,0.3424806795950231
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.75,0.375,0.37122406614840175,0.3676682793268128,0.37122406614840175,0.3676682793268128,0.37430965182045844,0.3814504265721291,0.38249491886701825,0.37430965182045844,0.37122406614840175,0.38476462314662135
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.375,0.375,0.385947497421666,0.38155926105631244,0.385947497421666,0.385947497421666,0.40765390716885114,0.3997948836329643,0.4063704495397692,0.3924984243993151,0.385947497421666,0.40765390716885114
mimic_sites_unit_x_system,CCU-care,3,2722,13431,11.0,0.875,0.375,0.33920629283910225,0.33375285428761314,0.33920629283910225,0.33375285428761314,0.337290239753552,0.34484109505227206,0.3452837460479847,0.33957154452267735,0.33920629283910225,0.34645447931265283
mimic_sites_unit_x_system,CCU-care,3,2722,13431,11.0,0.875,0.75,0.37122406614840175,0.39534093658062364,0.37122406614840175,0.39534093658062364,0.39779782409582365,0.383120280277703,0.39081179390555676,0.3988307650823479,0.39534093658062364,0.3988307650823479
mimic_sites_unit_x_system,CCU-care,3,2722,13431,11.0,0.375,0.5,0.385947497421666,0.3813911373909065,0.385947497421666,0.385947497421666,0.3923681307172772,0.39178738310876665,0.3924100331274652,0.3885534526486044,0.385947497421666,0.3924100331274652
mimic_sites_unit_x_system,CCU-care,1,2722,4976,11.0,0.0,0.125,0.33920629283910225,0.32474823208953324,0.33920629283910225,0.33920629283910225,0.33920629283910225,0.33882169344966895,0.33760372272542005,0.3338122219228263,0.33920629283910225,0.3399491949761668
mimic_sites_unit_x_system,CCU-care,1,2722,4976,11.0,0.375,0.5,0.37122406614840175,0.36548344356817974,0.37122406614840175,0.36548344356817974,0.3737439014686363,0.37335338856243383,0.3751092631610691,0.3703764003229729,0.37122406614840175,0.3751092631610691
mimic_sites_unit_x_system,CCU-care,1,2722,4976,11.0,0.25,0.375,0.385947497421666,0.3760523820755021,0.385947497421666,0.385947497421666,0.3896731103308772,0.3896731103308772,0.38994439126493063,0.3847160689392897,0.385947497421666,0.3925447348367897
mimic_sites_unit_x_system,CCU-care,1,2722,2902,11.0,0.0,0.125,0.33920629283910225,0.31833696007230045,0.33920629283910225,0.33920629283910225,0.33920629283910225,0.33671727194415035,0.33512961215900555,0.32850190856308187,0.33920629283910225,0.3406975577570823
mimic_sites_unit_x_system,CCU-care,1,2722,2902,11.0,0.75,0.25,0.37122406614840175,0.36227183597928697,0.37122406614840175,0.36227183597928697,0.36840569782861,0.380232028604492,0.3749908580847214,0.36840569782861,0.37122406614840175,0.380232028604492
mimic_sites_unit_x_system,CCU-care,1,2722,2902,11.0,0.125,0.5,0.385947497421666,0.4008945891478532,0.385947497421666,0.385947497421666,0.39792016740152886,0.40243403472049966,0.4099691568108057,0.40792413911771136,0.4008945891478532,0.4099691568108057
mimic_sites_unit_x_system,CCU-care,4,2722,16887,11.0,0.625,0.125,0.33920629283910225,0.30847348938532443,0.33920629283910225,0.30847348938532443,0.3287621198865286,0.3395414511395461,0.3346057948407238,0.3244333629148577,0.33920629283910225,0.3406069760049106
