benefit,benefit_n2,benefit_unif,benefit_w5,benefit_wepv,brier_local,brier_merge,d_brier,d_slope,dataset,eps,epv_target,fedavg_1r,fedavg_30r,fedavg_5r,local,merge,merge_n2,merge_unif,merge_w5,merge_wepv,n_partners,n_target,seed,slope_local,slope_merge,target,w_epv
-0.020086250276619505,-0.011486066994151806,-0.03308256002934129,-0.013342976354249525,-0.01869830348801503,0.11288691531411964,0.21737241985022288,0.10448550453610324,-0.04426515087773353,matrix,0.1,11.0,-0.03404460213341684,-0.011057180764239088,0.007325055387670976,0.1424324632360875,0.12234621295946799,0.1309463962419357,0.1093499032067462,0.12908948688183797,0.12373415974807246,3,2722,0,0.08449155872812132,0.040226407850387794,CCU-care,1.0
0.05496960961191,0.06480830871868287,0.04466371101538116,0.03516394586949542,-0.0429215066518039,0.09943106604668976,0.095225354754852,-0.004205711291837763,0.5178721526952066,matrix,0.5,11.0,0.028928887004600667,-0.05830808595974295,-0.05502159925488781,0.16171799578087648,0.21668760539278648,0.22652630449955935,0.20638170679625764,0.1968819416503719,0.11879648912907258,3,2722,0,0.6957439048144327,1.2136160575096393,CCU-care,1.0
0.05171200639095527,0.06881453758639425,0.03298814234976155,0.021169183460937296,-0.04732244378955566,0.09387047840034077,0.09339033486749661,-0.00048014353284416,0.3488321420157574,matrix,1.0,11.0,-0.04371470649357237,-0.09652519980145302,-0.0946942031931148,0.2041147715423258,0.25582677793328107,0.27292930912872004,0.23710291389208735,0.2252839550032631,0.15679232775277013,3,2722,0,1.0959992447225644,1.4448313867383218,CCU-care,1.0
-0.0053517309538653746,-0.004631651838463979,-0.006394644261726645,-0.004992715256213254,-0.10993061559583805,0.0931216251292665,0.09294325829867632,-0.00017836683059017922,0.4973470207186925,matrix,2.0,11.0,-0.07081218627254096,-0.19667267462254406,-0.1006562240246649,0.29254775491299667,0.2871960239591313,0.2879161030745327,0.28615311065127,0.2875550396567834,0.18261713931715862,3,2722,0,2.1354831321113292,2.6328301528300218,CCU-care,1.0
0.011294391946369331,0.015344409410403603,0.005799040198755212,0.007433508576320191,-0.10505257978418059,0.09116363764093871,0.09294881977800466,0.001785182137065952,0.5012069041055671,matrix,5.0,11.0,-0.08379329481838249,-0.1533709187969753,-0.06251739026479616,0.29362863484638224,0.3049230267927516,0.30897304425678584,0.29942767504513745,0.30106214342270243,0.18857605506220165,3,2722,0,2.048566546548576,2.549773450654143,CCU-care,1.0
0.0009064429499394122,0.004409071228919481,-0.00587484178878156,-0.005480035439347664,-0.1138776412145606,0.09132012959824327,0.09288563567634515,0.0015655060781018804,0.2966179362449841,matrix,inf,11.0,-0.04530906343891644,-0.008993795234948088,-0.032808170207691945,0.29706734059275564,0.29797378354269505,0.3014764118216751,0.2911924988039741,0.29158730515340797,0.18318969937819504,3,2722,0,2.171339822056583,2.467957758301567,CCU-care,1.0
-0.004184389285732559,-0.015050495593351199,0.005570405231592773,0.008925276796636877,-0.05065288177728142,0.3840335578404426,0.1975968014668962,-0.18643675637354637,0.015803869761862772,matrix,0.1,11.0,-0.010779109277976012,-0.05304161260901637,0.008102607083364688,0.16158597636313893,0.15740158707740637,0.14653548076978773,0.1671563815947317,0.1705112531597758,0.11093309458585751,2,2722,0,0.059638582332619906,0.07544245209448268,CCU-care,1.0
0.02353268656326213,0.02931049337141456,-0.01401944445894135,0.006428359599094408,-0.05737251015544259,0.09376973434360271,0.09232249542096045,-0.0014472389226422577,0.09075378930061018,matrix,0.5,11.0,-0.13113375959159104,-0.10109507769921611,-0.11349006347596399,0.22632952736411188,0.249862213927374,0.25564002073552644,0.21231008290517053,0.2327578869632063,0.1689570172086693,2,2722,0,0.8913069719524791,0.9820607612530893,CCU-care,1.0
0.04339875087723788,0.05825583951422708,0.02145039871216875,0.022252344322726103,-0.05330666751659338,0.09653684733063125,0.0924887016016014,-0.004048145729029853,0.0629815563614673,matrix,1.0,11.0,-0.12226665417826474,-0.04360797351428178,-0.11519790211935699,0.20924677663131663,0.2526455275085545,0.2675026161455437,0.23069717534348538,0.23149912095404274,0.15594010911472325,2,2722,0,1.1546684053392713,1.2176499617007386,CCU-care,1.0
0.004572841106463721,0.006282891194944962,0.0070342547175134,0.0015387592598392064,-0.09531127609039877,0.09208711858276405,0.09157463534589003,-0.0005124832368740284,-0.44316242279765383,matrix,2.0,11.0,-0.09411480639710418,-0.19517194300139795,-0.09559247363708456,0.2798519710195614,0.2844248121260251,0.28613486221450635,0.2868862257370748,0.2813907302794006,0.1845406949291626,2,2722,0,1.8765982254420759,1.433435802644422,CCU-care,1.0
0.020573831760356043,0.027565798083080517,0.012435878698919989,0.01424000668809916,-0.09135074993725492,0.09187119956454282,0.09155129152078899,-0.00031990804375382764,-0.09547669287044913,matrix,5.0,11.0,-0.05535098647809056,-0.19109235900351995,-0.10388084755497062,0.2772534637024589,0.29782729546281494,0.3048192617855394,0.2896893424013789,0.29149347039055806,0.18590271376520398,2,2722,0,2.086827372624332,1.9913506797538827,CCU-care,1.0
0.015704049383187813,0.015377081577695573,0.012513514323872044,0.013931673464215644,-0.10293100679179704,0.09132012959824327,0.09122126005046671,-9.886954777656165e-05,-0.18506465155723406,matrix,inf,11.0,-0.04217416484563857,-0.0002720641643351729,-0.02669523060647999,0.29706734059275564,0.31277138997594345,0.3124444221704512,0.3095808549166277,0.3109990140569713,0.1941363338009586,2,2722,0,2.171339822056583,1.9862751704993489,CCU-care,1.0
0.030140906770226183,0.03240619903430181,0.025791103415064298,0.012855790096908126,-0.031576539087500646,0.32657466410325386,0.12012092121892731,-0.20645374288432655,0.08046173440155827,matrix,0.1,11.0,-0.03325932304649354,-0.006103585697188413,-0.03297342223500033,0.1410867660803043,0.17122767285053048,0.1734929651146061,0.1668778694953686,0.15394255617721242,0.10951022699280365,2,2722,0,0.08600859424279636,0.16647032864435463,CCU-care,1.0
0.031034454753239293,0.013081438123925704,0.04761896242934893,0.04170804232707842,-0.09773791524795195,0.10189708115098758,0.09046187995696746,-0.011435201194020125,1.2292504776191913,matrix,0.5,11.0,-0.12669905631990108,-0.1504359919912633,-0.17929090889898452,0.2737270148869875,0.30476146964022677,0.2868084530109132,0.3213459773163364,0.3154350572140659,0.17598909963903553,2,2722,0,0.7435283505607935,1.9727788281799847,CCU-care,1.0
-0.01727990074969238,-0.033280451758104956,-0.005700602360311002,0.004447765049474028,-0.10741572704593752,0.09109351810648517,0.09268634763998328,0.0015928295334981107,0.2959386709998786,matrix,1.0,11.0,-0.09869233688735157,-0.12269507103288885,-0.1789601764550125,0.2757802951919397,0.2585003944422473,0.24249984343383474,0.2700796928316287,0.2802280602414137,0.16836456814600217,2,2722,0,1.565341343273351,1.8612800142732295,CCU-care,1.0
0.021747491000366714,0.026185686366229977,0.019438380122091647,0.020273612859104118,-0.09852907361290716,0.09206833364338649,0.09288976724643797,0.0008214336030514802,0.2074176581851126,matrix,2.0,11.0,-0.06319603887554961,-0.15221390010114583,-0.16573541237297168,0.28088748685915743,0.30263497785952415,0.3070731732253874,0.3003258669812491,0.30116109971826155,0.18235841324625027,2,2722,0,2.117340005912908,2.3247576640980205,CCU-care,1.0
0.014225357059699795,0.016728487583629437,0.010122851124613308,0.009093379714313565,-0.09683024479672739,0.09217198960484196,0.09229709764179726,0.0001251080369552987,0.04018860170378469,matrix,5.0,11.0,-0.0329049076991596,-0.15072116487851772,-0.08672166788595395,0.28274452522208876,0.29696988228178856,0.2994730128057182,0.29286737634670207,0.2918379049364023,0.18591428042536137,2,2722,0,2.156311264687064,2.1964998663908486,CCU-care,1.0
0.006048730907572741,0.008313778065383581,0.002138286950434054,0.001958630611505585,-0.10732204733781048,0.09132012959824327,0.0921756774250491,0.0008555478268058303,0.16129148622493217,matrix,inf,11.0,-0.04636757302888178,-0.0018199211247074132,-0.029788071020478868,0.29706734059275564,0.3031160715003284,0.3053811186581392,0.2992056275431897,0.2990259712042612,0.18974529325494516,2,2722,0,2.171339822056583,2.332631308281515,CCU-care,1.0
-0.009540711564578919,-0.005188578863399629,-0.013418227533598892,-0.011362929339560027,-0.013394521678370935,0.20385613800746327,0.13152745922095255,-0.07232867878651073,-0.10190337515212727,matrix,0.1,11.0,-0.015025618026112589,-0.002128544507542754,-0.004403524897479957,0.1117206425603033,0.10217993099572438,0.10653206369690367,0.0983024150267044,0.10035771322074327,0.09832612088193236,3,2722,0,0.005881891621068068,-0.0960214835310592,CCU-care,1.0
0.0980358744773972,0.10902022422365015,0.07664105629387935,0.03616708239251032,-0.04349468071703477,0.09496686801245612,0.09259066980252689,-0.002376198209929223,0.9189273769593578,matrix,0.5,11.0,-0.06264312869706304,-0.09023535131999388,-0.03743399264994307,0.18392577270025345,0.28196164717765065,0.2929459969239036,0.2605668289941328,0.22009285509276377,0.14043109198321868,3,2722,0,0.8264793659665539,1.7454067429259117,CCU-care,1.0
0.05281902444691022,0.04914457602645411,0.049101609259197265,0.0437548864912346,-0.08125435926582625,0.1013528791544599,0.09158796940487852,-0.009764909749581371,0.7077136405447411,matrix,1.0,11.0,-0.08026403414250158,-0.14991567766844258,-0.1266293481492904,0.2542930855822919,0.30711211002920213,0.303437661608746,0.3033946948414892,0.2980479720735265,0.17303872631646566,3,2722,0,1.3910668864433429,2.098780526988084,CCU-care,1.0
