dataset,target,seed,n_partners,n_target,epv_target,kind,benefit,helped,slope_last,climb_half,level
heart-4site,cleveland,0,1,212,7.461538461538462,lr,-0.005301084156170477,0,0.022568189227206,0.025872089165401773,0.8679037991644662
heart-4site,cleveland,0,1,212,7.461538461538462,gb,-0.014211511603119842,0,-0.0014810849607555445,-0.0005038031821270591,0.8483910819102798
heart-4site,cleveland,1,1,212,7.461538461538462,lr,-0.009575723898276989,0,0.0008518207567883839,0.036743553363788664,0.90691350984718
heart-4site,cleveland,1,1,212,7.461538461538462,gb,0.0006131986718508342,1,-0.005850388598588954,0.023348402114420796,0.887051170236323
heart-4site,cleveland,0,3,212,7.461538461538462,lr,-0.003025453938168887,0,0.022568189227206,0.025872089165401773,0.8679037991644662
heart-4site,cleveland,0,3,212,7.461538461538462,gb,-0.02400530635970477,0,-0.0014810849607555445,-0.0005038031821270591,0.8483910819102798
heart-4site,cleveland,1,3,212,7.461538461538462,lr,-0.01685582227276572,0,0.0008518207567883839,0.036743553363788664,0.90691350984718
heart-4site,cleveland,1,3,212,7.461538461538462,gb,0.00025416889258977893,1,-0.005850388598588954,0.023348402114420796,0.887051170236323
heart-4site,cleveland,0,2,212,7.461538461538462,lr,0.003667641456551407,1,0.022568189227206,0.025872089165401773,0.8679037991644662
heart-4site,cleveland,0,2,212,7.461538461538462,gb,-0.01738660118001434,0,-0.0014810849607555445,-0.0005038031821270591,0.8483910819102798
heart-4site,cleveland,1,2,212,7.461538461538462,lr,-0.0006428951348905754,0,0.0008518207567883839,0.036743553363788664,0.90691350984718
heart-4site,cleveland,1,2,212,7.461538461538462,gb,-0.004969831543944814,0,-0.005850388598588954,0.023348402114420796,0.887051170236323
heart-4site,hungarian,0,1,205,7.4,lr,0.00304305720203224,1,0.02524315869849323,0.017342190339481405,0.8595534236391907
heart-4site,hungarian,0,1,205,7.4,gb,0.04358856601636796,1,0.044661115227082555,0.1094092697414844,0.8683882530489879
heart-4site,hungarian,1,1,205,7.4,lr,0.03789883676524197,1,0.008571475847540871,0.057532727347611085,0.8735393716673031
heart-4site,hungarian,1,1,205,7.4,gb,0.0022737556375252987,1,0.0484135399520057,0.0926313068209354,0.8619616952534918
heart-4site,hungarian,0,2,205,7.4,lr,0.002388147901226101,1,0.02524315869849323,0.017342190339481405,0.8595534236391907
heart-4site,hungarian,0,2,205,7.4,gb,0.0469847546003469,1,0.044661115227082555,0.1094092697414844,0.8683882530489879
heart-4site,hungarian,1,2,205,7.4,lr,0.03465245950759255,1,0.008571475847540871,0.057532727347611085,0.8735393716673031
heart-4site,hungarian,1,2,205,7.4,gb,0.014505528941716639,1,0.0484135399520057,0.0926313068209354,0.8619616952534918
heart-4site,hungarian,0,3,205,7.4,lr,0.016230204378124058,1,0.02524315869849323,0.017342190339481405,0.8595534236391907
heart-4site,hungarian,0,3,205,7.4,gb,0.030780575948325617,1,0.044661115227082555,0.1094092697414844,0.8683882530489879
heart-4site,hungarian,1,3,205,7.4,lr,0.029757351567281987,1,0.008571475847540871,0.057532727347611085,0.8735393716673031
heart-4site,hungarian,1,3,205,7.4,gb,-0.004562129448687502,0,0.0484135399520057,0.0926313068209354,0.8619616952534918
heart-4site,hungarian,0,1,205,7.4,lr,0.00018609371680244902,1,0.02524315869849323,0.017342190339481405,0.8595534236391907
heart-4site,hungarian,0,1,205,7.4,gb,0.010646011934099087,1,0.044661115227082555,0.1094092697414844,0.8683882530489879
heart-4site,hungarian,1,1,205,7.4,lr,0.00513125095874245,1,0.008571475847540871,0.057532727347611085,0.8735393716673031
heart-4site,hungarian,1,1,205,7.4,gb,-0.017852505441613098,0,0.0484135399520057,0.0926313068209354,0.8619616952534918
heart-4site,switzerland,0,1,86,0.6,lr,0.001521725807440144,1,-0.0436358345130242,-0.0653515968918147,0.875460310643872
heart-4site,switzerland,0,1,86,0.6,gb,0.03709650755426974,1,0.03345331898202018,0.03887984874824696,0.9678430563387136
heart-4site,switzerland,1,1,86,0.6,lr,0.0230181557693816,1,0.011562749455443326,0.01304947078531399,0.9708767620215308
heart-4site,switzerland,1,1,86,0.6,gb,-0.007721448298113831,0,0.03411839496159279,0.04997551859018406,0.9791468355802858
heart-4site,switzerland,0,3,86,0.6,lr,0.006076564194790857,1,-0.0436358345130242,-0.0653515968918147,0.875460310643872
heart-4site,switzerland,0,3,86,0.6,gb,0.055480073393071594,1,0.03345331898202018,0.03887984874824696,0.9678430563387136
heart-4site,switzerland,1,3,86,0.6,lr,0.013611605325891007,1,0.011562749455443326,0.01304947078531399,0.9708767620215308
heart-4site,switzerland,1,3,86,0.6,gb,-0.006222554063955776,0,0.03411839496159279,0.04997551859018406,0.9791468355802858
heart-4site,switzerland,0,2,86,0.6,lr,0.005091342519913944,1,-0.0436358345130242,-0.0653515968918147,0.875460310643872
heart-4site,switzerland,0,2,86,0.6,gb,0.046443070740948,1,0.03345331898202018,0.03887984874824696,0.9678430563387136
heart-4site,switzerland,1,2,86,0.6,lr,0.015365094544891877,1,0.011562749455443326,0.01304947078531399,0.9708767620215308
heart-4site,switzerland,1,2,86,0.6,gb,-0.003114265293902352,0,0.03411839496159279,0.04997551859018406,0.9791468355802858
heart-4site,switzerland,0,1,86,0.6,lr,0.00807248621951473,1,-0.0436358345130242,-0.0653515968918147,0.875460310643872
heart-4site,switzerland,0,1,86,0.6,gb,0.059953107474739475,1,0.03345331898202018,0.03887984874824696,0.9678430563387136
heart-4site,switzerland,1,1,86,0.6,lr,-0.011525201849371558,0,0.011562749455443326,0.01304947078531399,0.9708767620215308
heart-4site,switzerland,1,1,86,0.6,gb,-0.004785715424605486,0,0.03411839496159279,0.04997551859018406,0.9791468355802858
heart-4site,switzerland,0,1,86,0.6,lr,0.007179629076657479,1,-0.0436358345130242,-0.0653515968918147,0.875460310643872
heart-4site,switzerland,0,1,86,0.6,gb,0.051665491745977565,1,0.03345331898202018,0.03887984874824696,0.9678430563387136
heart-4site,switzerland,1,1,86,0.6,lr,0.002760512436342788,1,0.011562749455443326,0.01304947078531399,0.9708767620215308
heart-4site,switzerland,1,1,86,0.6,gb,0.011664962135094603,1,0.03411839496159279,0.04997551859018406,0.9791468355802858
