combiner,n,rho,p,epv_cut,acc,majority,helped_rate
lr_merge,2994,-0.14248597048316977,4.755642298395569e-15,8.418749999999989,0.6469605878423513,0.6516366065464262,0.6516366065464262
lr_ensemble,2994,-0.2400848192370877,1.6185252866427415e-40,2.8260869565217392,0.635938543754175,0.625250501002004,0.625250501002004
lr_pooled,2994,-0.00617962998915005,0.7353664575796544,8.418749999999989,0.739812959251837,0.7899131596526386,0.7899131596526386
lr_fedavg5,2994,-0.1881952494257686,2.865446657934967e-25,8.418749999999989,0.6596526386105545,0.6482965931863728,0.6482965931863728
gb_ensemble,2994,-0.11964050082769388,5.123902149443214e-11,8.418749999999989,0.6810287241148965,0.697060788243153,0.697060788243153
gb_pooled,2865,-0.028765785557577857,0.12371758613375962,8.474999999999966,0.7455497382198953,0.7916230366492146,0.7916230366492146
