combiner,n,rho,p,epv_cut,acc,majority,helped_rate
lr_merge,1530,-0.25247488234381754,1.1198353946291308e-23,17.7,0.5823529411764706,0.5797385620915033,0.5797385620915033
lr_ensemble,1530,-0.33100666571423293,1.921487619911648e-40,17.7,0.6254901960784314,0.5627450980392157,0.5627450980392157
lr_pooled,1530,-0.2714576230536093,2.9835453633941894e-27,17.7,0.5843137254901961,0.5764705882352941,0.5764705882352941
lr_fedavg5,1530,-0.3033080224027476,6.372421168804143e-34,25.3,0.6,0.592156862745098,0.592156862745098
gb_ensemble,1530,-0.4122320783837159,7.849127606696174e-64,37.4,0.6973856209150326,0.7352941176470589,0.7352941176470589
gb_pooled,1530,-0.33710864090115333,5.6645806537555096e-42,37.4,0.6849673202614379,0.7254901960784313,0.7254901960784313
