dataset,target,seed,k_partners,epv_target,w_nweight,w_oracle,w_cv,auprc_merge,auprc_local,auprc_oracle,auprc_cv,auprc_w0,auprc_w1,auprc_w2,auprc_w3,auprc_w4,auprc_w5,auprc_w6,auprc_w7,auprc_w8,auprc_w9,auprc_w10
mimic_sites_unit_x_system,CCU-care,0,4,11.0,0.17339788508090204,0.0,0.2,0.3064412973063638,0.30250011087409395,0.3064412973063638,0.3063205327318049,0.3064412973063638,0.30518578556204035,0.3063205327318049,0.30584409663818124,0.3051088776286089,0.3048477633423401,0.304880398811264,0.3054528525521914,0.304481896931446,0.30435459035867557,0.30250011087409395
mimic_sites_unit_x_system,CCU-care,1,4,11.0,0.17339788508090204,0.1,0.2,0.3681778334973673,0.35379896195388433,0.3692282981970261,0.36747797932984466,0.3681778334973673,0.3692282981970261,0.36747797932984466,0.3666524786141259,0.3626985562741293,0.36057898396273763,0.35869209213576586,0.3576014926676161,0.3555675403179065,0.35466014499428666,0.35379896195388433
mimic_sites_unit_x_system,CCU-care,2,4,11.0,0.17339788508090204,1.0,0.2,0.3696917558557055,0.3824335798737659,0.3824335798737659,0.3741610757346861,0.3696917558557055,0.3718926918033097,0.3741610757346861,0.3764820286663707,0.37802886895693655,0.37909562060565066,0.3815927638865084,0.38047858174568144,0.38109250768486613,0.3819066877947156,0.3824335798737659
mimic_sites_unit_x_system,CCU-care,3,4,11.0,0.17339788508090204,0.9,0.9,0.3798179327774781,0.38358457049688355,0.38363402857793927,0.38363402857793927,0.3798179327774781,0.379495713252459,0.38170160405907466,0.38171595168936223,0.38320802020522005,0.3825835440989412,0.3817710047014387,0.3817205719556207,0.3822471060328754,0.38363402857793927,0.38358457049688355
mimic_sites_unit_x_system,CCU-care,4,4,11.0,0.17339788508090204,0.0,0.1,0.36732362811277863,0.35946562559876166,0.36732362811277863,0.3656498052141014,0.36732362811277863,0.3656498052141014,0.36653161396359174,0.3656197925583212,0.36560615734132684,0.36526246869054224,0.3635646263512739,0.3640057284231625,0.36215731016798725,0.36022223680873194,0.35946562559876166
mimic_sites_unit_x_system,CCU-care,5,4,11.0,0.17339788508090204,0.7,0.3,0.32927915487022,0.33615794645999153,0.33736912891901183,0.3344289782818539,0.32927915487022,0.33072047064506155,0.3326146475831164,0.3344289782818539,0.3341181395140445,0.33569366457200944,0.33572326813125597,0.33736912891901183,0.33675893334415924,0.33696223362792915,0.33615794645999153
mimic_sites_unit_x_system,CCU-care,6,4,11.0,0.17339788508090204,0.3,0.2,0.31881072832384694,0.31855539292176227,0.3208984583415188,0.31957717611713377,0.31881072832384694,0.319547280570787,0.31957717611713377,0.3208984583415188,0.3205133988130597,0.320841437454956,0.3198807588908799,0.3189440812328562,0.31825927817430527,0.31900672903099186,0.31855539292176227
mimic_sites_unit_x_system,CCU-care,7,4,11.0,0.17339788508090204,0.5,0.3,0.39059812670934746,0.3935623947579156,0.4024711466383359,0.398808558401912,0.39059812670934746,0.39418035504912186,0.397342636928637,0.398808558401912,0.40139628634152247,0.4024711466383359,0.40143218334029834,0.39942524446281025,0.3971374271469657,0.3954259811909193,0.3935623947579156
mimic_sites_unit_x_system,CCU-care,8,4,11.0,0.17339788508090204,1.0,0.3,0.3341532338966903,0.35339864503167295,0.35339864503167295,0.3417673572662669,0.3341532338966903,0.3361855666814382,0.34032384513273134,0.3417673572662669,0.3444894191771051,0.34720062739684004,0.34986484850619975,0.3507130981173769,0.35229873188164595,0.352525333314982,0.35339864503167295
mimic_sites_unit_x_system,CCU-care,9,4,11.0,0.17339788508090204,0.4,1.0,0.30225221119635803,0.30404217855460525,0.3083556614526497,0.30404217855460525,0.30225221119635803,0.30200536939209993,0.3031488882274967,0.30781121315088544,0.3083556614526497,0.3064769983197519,0.305651324124048,0.30472193375339945,0.30368553327397724,0.3032412906819518,0.30404217855460525
mimic_sites_unit_x_system,CCU-care,0,3,11.0,0.22455040422372546,0.6,0.2,0.3363864938046971,0.3361298001918884,0.34016220907868766,0.337417670077901,0.3363864938046971,0.33709017230357957,0.337417670077901,0.33701221247201574,0.3376684200559109,0.33866290424956547,0.34016220907868766,0.33751551519335793,0.336712956651716,0.3371733518050247,0.3361298001918884
mimic_sites_unit_x_system,CCU-care,1,3,11.0,0.22455040422372546,0.1,0.3,0.39016177099527066,0.37194716359110497,0.39058104196239857,0.38654187990234606,0.39016177099527066,0.39058104196239857,0.38935962714975353,0.38654187990234606,0.3853952899260842,0.3844178000327189,0.3813206349008541,0.37731825627520094,0.37612772589801463,0.3744411617782457,0.37194716359110497
mimic_sites_unit_x_system,CCU-care,2,3,11.0,0.22455040422372546,1.0,0.4,0.3820832671137411,0.4012500394750612,0.4012500394750612,0.39550497208492114,0.3820832671137411,0.38591865033222406,0.3903623232263994,0.39293497676404676,0.39550497208492114,0.3975459050221531,0.3992025744520029,0.3997498138454837,0.4001633284694919,0.400917219955044,0.4012500394750612
mimic_sites_unit_x_system,CCU-care,3,3,11.0,0.22455040422372546,0.4,0.9,0.3889221773454107,0.3833131321785786,0.39027270634294325,0.38685148367145117,0.3889221773454107,0.3898989572717148,0.3892697148379477,0.38914003649179,0.39027270634294325,0.3893974034189625,0.38933592014009877,0.38910226845907886,0.3889555790614596,0.38685148367145117,0.3833131321785786
mimic_sites_unit_x_system,CCU-care,4,3,11.0,0.22455040422372546,1.0,0.3,0.3478140642205113,0.36210798212663886,0.36210798212663886,0.35506887735735965,0.3478140642205113,0.35161331881561453,0.35289605530149615,0.35506887735735965,0.3554310679352974,0.3567836191127077,0.35655615396610396,0.36021645515748957,0.3598674732087835,0.36101859766418126,0.36210798212663886
mimic_sites_unit_x_system,CCU-care,5,3,11.0,0.22455040422372546,0.8,0.4,0.3335928153239453,0.3440311954725886,0.3462205601829496,0.342543311912225,0.3335928153239453,0.3360668434297834,0.3393956090450817,0.3428274546405469,0.342543311912225,0.3448873581708194,0.344073264597905,0.3456765306220838,0.3462205601829496,0.3460192481548767,0.3440311954725886
mimic_sites_unit_x_system,CCU-care,6,3,11.0,0.22455040422372546,0.0,0.3,0.3398446952522078,0.33704026732243864,0.3398446952522078,0.3381262121324225,0.3398446952522078,0.33895871491278995,0.33816789057157454,0.3381262121324225,0.33836552619611227,0.3389005387703199,0.33940007937438615,0.3389156437279277,0.3392321026410163,0.3384496231213031,0.33704026732243864
mimic_sites_unit_x_system,CCU-care,7,3,11.0,0.22455040422372546,0.8,0.9,0.4137031478480097,0.4176988135618812,0.42182880875477946,0.418532592793579,0.4137031478480097,0.4178062830744703,0.41881717705828586,0.4190073791667632,0.41870072762908606,0.4184276067330279,0.4167581391007829,0.4185412779569472,0.42182880875477946,0.418532592793579,0.4176988135618812
mimic_sites_unit_x_system,CCU-care,8,3,11.0,0.22455040422372546,1.0,0.2,0.33336435142646803,0.3549556128637882,0.3549556128637882,0.3424879289908391,0.33336435142646803,0.3399192400837862,0.3424879289908391,0.34464330263606424,0.34702999947401836,0.3476047791418421,0.34883586534687683,0.35170718908506265,0.3531037331869748,0.3535139710793994,0.3549556128637882
mimic_sites_unit_x_system,CCU-care,9,3,11.0,0.22455040422372546,0.0,0.5,0.31185243977679933,0.30098651407218796,0.31185243977679933,0.3086337491048073,0.31185243977679933,0.3105518170625412,0.3114002072387508,0.3107188356776959,0.30905543925838447,0.3086337491048073,0.3067862698742668,0.3053543450188258,0.3035441376621974,0.3023384950024163,0.30098651407218796
mimic_sites_unit_x_system,CCU-care,0,1,11.0,0.5726909320429202,0.1,0.2,0.31568817528455984,0.3099263024812979,0.31701182534049627,0.31663861990412784,0.31568817528455984,0.31701182534049627,0.31663861990412784,0.316238155022958,0.3155789371276637,0.31567026665752224,0.3137180532531281,0.3131571445546515,0.3127987971537236,0.3113565814724892,0.3099263024812979
mimic_sites_unit_x_system,CCU-care,1,1,11.0,0.5726909320429202,0.2,0.4,0.35552854309884446,0.3555990275367023,0.35869592248087934,0.3572391051561948,0.35552854309884446,0.3561339900112398,0.35869592248087934,0.35817763354878723,0.3572391051561948,0.3578157792184667,0.3571889042647798,0.35571353326409055,0.35626177755258803,0.3562276661168183,0.3555990275367023
mimic_sites_unit_x_system,CCU-care,2,1,11.0,0.5726909320429202,0.6,0.5,0.39365279924132746,0.3974577790679782,0.3993140307746869,0.39918139249772794,0.39365279924132746,0.39671327948897983,0.3964068517511339,0.3973333661854411,0.39889406808188627,0.39918139249772794,0.3993140307746869,0.39916280713270125,0.398388021833908,0.3969846665444426,0.3974577790679782
mimic_sites_unit_x_system,CCU-care,3,1,11.0,0.5726909320429202,0.6,0.9,0.3717899016781352,0.3743787209724505,0.3760829197676842,0.3742223997322991,0.3717899016781352,0.3718847009684993,0.37176554628106134,0.3730615028568859,0.3739387446194591,0.3751313612449917,0.3760829197676842,0.37542585582722704,0.3739082821236635,0.3742223997322991,0.3743787209724505
