dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,lam_best,lam_1se,lam_cv,lam_cw,d_local,d_extra,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_fix_025,ap_fix_050,ap_fix_075,ap_oracle_binary,ap_oracle_lambda,ap_blend_cw,ap_blend_1se,ap_blend_cv,ap_oracle_extrap,ap_oracle_rich,ap_oracle_half,ap_oracle_honest,ap_blend_half,ap_ditto,ap_oracle_ditto,ap_oracle_lambda_cw,ap_gate_loso,cut_loso,ap_gate_bestcut
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.375,0.375,0.375,0.625,0.0,27,13,0.33920629283910225,0.3194254911977108,0.33920629283910225,0.33920629283910225,0.3424806795950231,0.3412288387526961,0.33693057927017167,0.32940670173543785,0.33920629283910225,0.3424806795950231,0.31427501205986974,0.3424806795950231,0.33446205963607917,0.3424806795950231,0.3424806795950231,0.3531139084811347,0.34841076526756215,0.34950493813985173,0.34065296221260605,0.35224020529257943,0.3202667298613936,0.33920629283910225,10.709677419354838,0.33920629283910225
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.75,0.375,0.625,0.625,0.625,27,13,0.37122406614840175,0.3676682793268128,0.37122406614840175,0.3676682793268128,0.37430965182045844,0.3814504265721291,0.38249491886701825,0.37430965182045844,0.37122406614840175,0.38476462314662135,0.36404751910625577,0.3764339126643622,0.3764339126643622,0.38476462314662135,0.38476462314662135,0.385327816507885,0.3830270622024914,0.3750436373965148,0.39436988078813745,0.40269826416433174,0.3676682793268128,0.37122406614840175,10.709677419354838,0.37122406614840175
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.375,0.375,0.25,0.5,0.5,27,13,0.385947497421666,0.38155926105631244,0.385947497421666,0.385947497421666,0.40765390716885114,0.3997948836329643,0.4063704495397692,0.3924984243993151,0.385947497421666,0.40765390716885114,0.3923484996863297,0.3997948836329643,0.4063704495397692,0.40765390716885114,0.40765390716885114,0.42059326081691417,0.42059326081691417,0.42059326081691417,0.35720080539645366,0.3877803030129677,0.3962226579511742,0.385947497421666,10.709677419354838,0.385947497421666
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.75,0.5,0.5,0.5,0.625,27,13,0.3691527082720559,0.3878128193730096,0.3691527082720559,0.3878128193730096,0.3924443470287823,0.38573980507400346,0.39477362994070475,0.3924443470287823,0.3878128193730096,0.39477362994070475,0.3919688469781682,0.39477362994070475,0.39477362994070475,0.39477362994070475,0.39477362994070475,0.4034594592021371,0.3793594824043774,0.3918293044293326,0.3647652553017488,0.37205218898502207,0.39203737945338263,0.3691527082720559,10.709677419354838,0.3691527082720559
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.5,0.125,0.5,0.625,0.875,27,13,0.3712891493331875,0.3541527646118703,0.3712891493331875,0.3541527646118703,0.37424914749015564,0.3731017125726796,0.37424914749015564,0.361924870395089,0.3712891493331875,0.375753938430813,0.35534349706309365,0.37424914749015564,0.36812091632463945,0.375753938430813,0.375753938430813,0.3932926939607422,0.3932926939607422,0.3932926939607422,0.38543923306950106,0.38747989449410236,0.35557871223939685,0.3712891493331875,10.709677419354838,0.3712891493331875
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.5,0.5,0.375,0.625,0.0,27,13,0.3412729409916229,0.33078807975651053,0.3412729409916229,0.3412729409916229,0.36035447468516085,0.35215812889661924,0.36035447468516085,0.3468391108769936,0.3412729409916229,0.36035447468516085,0.33345016404413474,0.35979900795682884,0.35412067288398186,0.36035447468516085,0.36035447468516085,0.3587206998279091,0.3587206998279091,0.35414524030011263,0.3468164295884589,0.3597321698949806,0.33640141914033656,0.3412729409916229,10.709677419354838,0.3412729409916229
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.125,0.375,0.0,0.625,0.0,27,13,0.3427093048383347,0.32390038263153087,0.3427093048383347,0.3427093048383347,0.34094448380704895,0.3430376243373921,0.33863488168423045,0.3329771052958954,0.3427093048383347,0.34412387339006395,0.3201466490222244,0.3427093048383347,0.3358656802691207,0.34412387339006395,0.34412387339006395,0.35848117410566677,0.3450567297355539,0.3493558660406042,0.34381302711070094,0.3466073358826964,0.3252378572584475,0.3427093048383347,10.709677419354838,0.3427093048383347
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.25,0.625,0.0,0.375,0.875,27,13,0.39580752005994585,0.3933720175834503,0.39580752005994585,0.39580752005994585,0.40661790278893994,0.40661790278893994,0.4108440355716348,0.4102507075991363,0.39580752005994585,0.41287459423831485,0.3999235205447788,0.39580752005994585,0.4103493393903788,0.41287459423831485,0.41287459423831485,0.41686016497550915,0.4061758084930107,0.4121956116600764,0.39507982503572947,0.4084058001268713,0.40383294095330635,0.39580752005994585,10.709677419354838,0.39580752005994585
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.25,0.625,0.125,0.5,0.875,27,13,0.3443337106131557,0.3436477111306067,0.3443337106131557,0.3443337106131557,0.3504472964564127,0.3504472964564127,0.35422308102035266,0.34999448693799,0.3443337106131557,0.356392009772113,0.3457739677944823,0.351129627387767,0.35422308102035266,0.356392009772113,0.356392009772113,0.3788027297095543,0.33747242342394496,0.35161234349434517,0.3287872193088047,0.3454987177947541,0.3549504767630197,0.3443337106131557,10.709677419354838,0.3443337106131557
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.0,1.0,0.0,0.375,0.125,27,13,0.28772664198940345,0.3096425343605651,0.28772664198940345,0.28772664198940345,0.28772664198940345,0.2992234133050381,0.3034913128112072,0.30791342357835794,0.3096425343605651,0.3096425343605651,0.3074183440123857,0.28772664198940345,0.30398119722312167,0.3096425343605651,0.3096425343605651,0.32578870859039916,0.28497226227100503,0.2906855128108269,0.2894416300473652,0.2950569683974066,0.31154263861415527,0.28772664198940345,10.709677419354838,0.28772664198940345
