feature,rho,p,loso_acc,majority
epv_target,-0.4747953533682965,1.5656954648924367e-103,0.6497267759562841,0.5950819672131148
n_target,-0.4863995406336223,2.670913535223313e-109,0.651912568306011,0.5950819672131148
n_min,-0.2692137286220331,9.396984379393179e-32,0.5896174863387978,0.5950819672131148
n_partner_total,-0.04638875150635946,0.04723874096380146,0.5923497267759563,0.5950819672131148
ratio_partner_to_target,0.3245295831494958,3.821143633529699e-46,0.5644808743169399,0.5950819672131148
n_partners,-0.028762341529705707,0.21876319831862448,0.5950819672131148,0.5950819672131148
schema_jaccard,nan,nan,0.5950819672131148,0.5950819672131148
q_median,-0.12061064076238714,2.2801115909420995e-07,0.5737704918032787,0.5950819672131148
i2_median,-0.1627225796800793,2.5054919056607604e-12,0.5923497267759563,0.5950819672131148
