target,target_db,seed,n_partners,n_cross,frac_cross,epv_target,n_target,benefit,helped
m3:CCU-meta,0,0,2,1,0.5,6.44,1535,0.005009148917298145,1
m3:CCU-meta,0,1,2,1,0.5,6.44,1535,-0.10514699655127713,0
m3:CCU-meta,0,0,2,1,0.5,6.44,1535,0.002238984598366911,1
m3:CCU-meta,0,1,2,1,0.5,6.44,1535,-0.00978559016034325,0
m3:CCU-meta,0,0,4,3,0.75,6.44,1535,0.01236145370513475,1
m3:CCU-meta,0,1,4,3,0.75,6.44,1535,0.028928447900341325,1
m3:CCU-meta,0,0,3,2,0.6666666666666666,6.44,1535,-0.0018309694825950906,0
m3:CCU-meta,0,1,3,2,0.6666666666666666,6.44,1535,0.021955589936934528,1
m3:CCU-meta,0,0,4,1,0.25,6.44,1535,0.009330337271935496,1
m3:CCU-meta,0,1,4,1,0.25,6.44,1535,0.0035015787582862723,1
m3:CCU-meta,0,0,1,0,0.0,6.44,1535,0.020884902290944585,1
m3:CCU-meta,0,1,1,0,0.0,6.44,1535,0.02437201224606278,1
m3:CCU-meta,0,0,1,1,1.0,6.44,1535,-0.015035283146811074,0
m3:CCU-meta,0,1,1,1,1.0,6.44,1535,-0.0007273055401036954,0
m3:CCU-meta,0,0,1,1,1.0,6.44,1535,0.036905397104399884,1
m3:CCU-meta,0,1,1,1,1.0,6.44,1535,0.040617246004335195,1
m3:CCU-meta,0,0,3,3,1.0,6.44,1535,0.031170465174318984,1
m3:CCU-meta,0,1,3,3,1.0,6.44,1535,0.012070113682319583,1
m3:CCU-meta,0,0,2,2,1.0,6.44,1535,0.005513200653945338,1
m3:CCU-meta,0,1,2,2,1.0,6.44,1535,-0.05916004839752187,0
m3:CCU-meta,0,0,1,1,1.0,6.44,1535,-0.16200901907472387,0
m3:CCU-meta,0,1,1,1,1.0,6.44,1535,-0.21658519055927483,0
m3:CCU-meta,0,0,1,1,1.0,6.44,1535,-0.0681088481184402,0
m3:CCU-meta,0,1,1,1,1.0,6.44,1535,-0.15657843490409024,0
m3:CCU-meta,0,0,1,1,1.0,6.44,1535,0.005828058216761078,1
m3:CCU-meta,0,1,1,1,1.0,6.44,1535,0.017682688481678477,1
m3:CSRU-care,0,0,1,0,0.0,4.393939393939394,3483,0.027238674959413955,1
m3:CSRU-care,0,1,1,0,0.0,4.393939393939394,3483,0.03430132732391877,1
m3:CSRU-care,0,0,4,1,0.25,4.393939393939394,3483,0.07784166051542007,1
m3:CSRU-care,0,1,4,1,0.25,4.393939393939394,3483,-0.011788383503632371,0
m3:CSRU-care,0,0,1,0,0.0,4.393939393939394,3483,-0.0111365939764132,0
m3:CSRU-care,0,1,1,0,0.0,4.393939393939394,3483,0.030408157190803753,1
m3:CSRU-care,0,0,2,0,0.0,4.393939393939394,3483,0.015345817681698182,1
m3:CSRU-care,0,1,2,0,0.0,4.393939393939394,3483,0.0560336238185597,1
m3:CSRU-care,0,0,1,0,0.0,4.393939393939394,3483,0.04895621826481533,1
m3:CSRU-care,0,1,1,0,0.0,4.393939393939394,3483,-0.003533667863646839,0
m3:CSRU-care,0,0,1,0,0.0,4.393939393939394,3483,0.004028087524856505,1
m3:CSRU-care,0,1,1,0,0.0,4.393939393939394,3483,0.003359328937281525,1
m3:CSRU-care,0,0,4,2,0.5,4.393939393939394,3483,0.01710316243967236,1
m3:CSRU-care,0,1,4,2,0.5,4.393939393939394,3483,0.028960140331625916,1
m3:CSRU-care,0,0,2,0,0.0,4.393939393939394,3483,0.041850213775176226,1
m3:CSRU-care,0,1,2,0,0.0,4.393939393939394,3483,0.020856251622065614,1
m3:CSRU-care,0,0,4,2,0.5,4.393939393939394,3483,-7.354614916382785e-05,0
m3:CSRU-care,0,1,4,2,0.5,4.393939393939394,3483,0.0577656531394134,1
m3:CSRU-care,0,0,4,3,0.75,4.393939393939394,3483,0.04022727960078104,1
m3:CSRU-care,0,1,4,3,0.75,4.393939393939394,3483,0.028327112590225134,1
m3:CSRU-care,0,0,2,1,0.5,4.393939393939394,3483,0.03915014733124422,1
m3:CSRU-care,0,1,2,1,0.5,4.393939393939394,3483,0.01803282100503839,1
m3:CSRU-care,0,0,1,0,0.0,4.393939393939394,3483,0.03690990073425793,1
m3:CSRU-care,0,1,1,0,0.0,4.393939393939394,3483,0.03243480263488491,1
m3:CSRU-care,0,0,2,0,0.0,4.393939393939394,3483,0.05292740234769494,1
m3:CSRU-care,0,1,2,0,0.0,4.393939393939394,3483,0.020070324551141383,1
m3:CSRU-care,0,0,3,2,0.6666666666666666,4.393939393939394,3483,0.06291384694956259,1
m3:CSRU-care,0,1,3,2,0.6666666666666666,4.393939393939394,3483,0.05078774450593715,1
m3:CSRU-care,0,0,1,0,0.0,4.393939393939394,3483,0.055505746470552564,1
m3:CSRU-care,0,1,1,0,0.0,4.393939393939394,3483,0.025430800535577225,1
m3:CSRU-care,0,0,3,2,0.6666666666666666,4.393939393939394,3483,0.05074909706346492,1
m3:CSRU-care,0,1,3,2,0.6666666666666666,4.393939393939394,3483,0.011643423442737388,1
m3:CSRU-care,0,0,3,2,0.6666666666666666,4.393939393939394,3483,0.008154442491989045,1
m3:CSRU-care,0,1,3,2,0.6666666666666666,4.393939393939394,3483,-0.018771474472664362,0
m3:CSRU-care,0,0,2,2,1.0,4.393939393939394,3483,0.002177338405967899,1
m3:CSRU-care,0,1,2,2,1.0,4.393939393939394,3483,0.05085518457594207,1
m3:CSRU-care,0,0,1,1,1.0,4.393939393939394,3483,0.04498109931671074,1
m3:CSRU-care,0,1,1,1,1.0,4.393939393939394,3483,0.02404091567686134,1
m3:CSRU-care,0,0,4,4,1.0,4.393939393939394,3483,0.030624389092627102,1
m3:CSRU-care,0,1,4,4,1.0,4.393939393939394,3483,0.06612165245905122,1
m3:CSRU-care,0,0,2,2,1.0,4.393939393939394,3483,0.013208339821644433,1
m3:CSRU-care,0,1,2,2,1.0,4.393939393939394,3483,0.07629832130110309,1
m3:CSRU-care,0,0,2,2,1.0,4.393939393939394,3483,-0.0018013295880195956,0
m3:CSRU-care,0,1,2,2,1.0,4.393939393939394,3483,-0.030043576551512685,0
m3:CSRU-care,0,0,1,1,1.0,4.393939393939394,3483,0.0255895220588111,1
m3:CSRU-care,0,1,1,1,1.0,4.393939393939394,3483,0.009460102219951305,1
m3:CSRU-meta,0,0,4,2,0.5,1.7058823529411764,2031,0.0658428515303095,1
m3:CSRU-meta,0,1,4,2,0.5,1.7058823529411764,2031,-0.021866204007149392,0
m3:CSRU-meta,0,0,2,1,0.5,1.7058823529411764,2031,0.08684870177879783,1
m3:CSRU-meta,0,1,2,1,0.5,1.7058823529411764,2031,-0.00847992065274078,0
m3:CSRU-meta,0,0,4,1,0.25,1.7058823529411764,2031,0.033327546235627614,1
m3:CSRU-meta,0,1,4,1,0.25,1.7058823529411764,2031,-0.058170920757662115,0
m3:CSRU-meta,0,0,4,1,0.25,1.7058823529411764,2031,0.0483284918084268,1
m3:CSRU-meta,0,1,4,1,0.25,1.7058823529411764,2031,-0.0714893943111492,0
m3:CSRU-meta,0,0,4,3,0.75,1.7058823529411764,2031,0.007330508306683303,1
m3:CSRU-meta,0,1,4,3,0.75,1.7058823529411764,2031,-0.04687310276464046,0
m3:CSRU-meta,0,0,4,2,0.5,1.7058823529411764,2031,0.0118359639953034,1
m3:CSRU-meta,0,1,4,2,0.5,1.7058823529411764,2031,0.016181425700826313,1
m3:CSRU-meta,0,0,4,2,0.5,1.7058823529411764,2031,0.054376330740051326,1
m3:CSRU-meta,0,1,4,2,0.5,1.7058823529411764,2031,-0.02176206329026184,0
m3:CSRU-meta,0,0,4,2,0.5,1.7058823529411764,2031,-0.06081703813002437,0
m3:CSRU-meta,0,1,4,2,0.5,1.7058823529411764,2031,-0.0037083356261459754,0
m3:CSRU-meta,0,0,3,1,0.3333333333333333,1.7058823529411764,2031,0.05393299168374116,1
m3:CSRU-meta,0,1,3,1,0.3333333333333333,1.7058823529411764,2031,-0.017979918657925753,0
m3:CSRU-meta,0,0,4,2,0.5,1.7058823529411764,2031,0.03262976408278778,1
m3:CSRU-meta,0,1,4,2,0.5,1.7058823529411764,2031,0.001079478143889978,1
m3:CSRU-meta,0,0,3,2,0.6666666666666666,1.7058823529411764,2031,0.030065211923689272,1
m3:CSRU-meta,0,1,3,2,0.6666666666666666,1.7058823529411764,2031,-0.01827905950308384,0
m3:CSRU-meta,0,0,2,1,0.5,1.7058823529411764,2031,0.048154905059910325,1
m3:CSRU-meta,0,1,2,1,0.5,1.7058823529411764,2031,-0.05151194252351568,0
m3:CSRU-meta,0,0,2,1,0.5,1.7058823529411764,2031,0.05887040319019904,1
m3:CSRU-meta,0,1,2,1,0.5,1.7058823529411764,2031,-0.0045884668496110614,0
m3:CSRU-meta,0,0,4,2,0.5,1.7058823529411764,2031,0.01540459078181583,1
m3:CSRU-meta,0,1,4,2,0.5,1.7058823529411764,2031,-0.014913192996475033,0
m3:CSRU-meta,0,0,1,0,0.0,1.7058823529411764,2031,0.019654538797535592,1
