feature,rho,p,loso_acc,majority
epv_target,-0.2117483750510324,1.5289685405752457e-154,0.6080047086521483,0.6056503825779871
n_target,-0.19342203137707936,8.564359864168491e-129,0.6036884441828526,0.6056503825779871
n_min,-0.08100812934234776,1.092847599682197e-23,0.5981296187299718,0.6056503825779871
n_partner_total,0.05809153068828891,6.531752459237932e-13,0.595971486495324,0.6056503825779871
ratio_partner_to_target,0.18033284550343928,6.212810160332794e-112,0.5999607612320973,0.6056503825779871
n_partners,0.050273347198492226,4.969481413385015e-10,0.6056503825779871,0.6056503825779871
schema_jaccard,-0.009402445511955024,0.24498906578652438,0.6056503825779871,0.6056503825779871
q_median,0.028966944535942292,0.00034042846070427084,0.5976718331044405,0.6056503825779871
i2_median,0.0033987424204222315,0.6743069152215397,0.5993721797135569,0.6056503825779871
