feature,rho,p,loso_acc,majority
epv_target,-0.0689484376693556,0.02424044360074443,0.6601123595505618,0.6900749063670412
n_target,-0.0512703896117087,0.09399909808396811,0.6647940074906367,0.6900749063670412
n_min,-0.06252141555064822,0.04106998761354182,0.6900749063670412,0.6900749063670412
n_partner_total,0.12141822249883362,6.947991421522834e-05,0.6629213483146067,0.6900749063670412
ratio_partner_to_target,0.12900464227609793,2.3509722663953877e-05,0.6676029962546817,0.6900749063670412
n_partners,0.1204004439996882,7.997724540581986e-05,0.6900749063670412,0.6900749063670412
schema_jaccard,-0.17421956147316114,9.998447134271848e-09,0.6460674157303371,0.6900749063670412
q_median,0.03255039856548333,0.28787641968626715,0.6750936329588015,0.6900749063670412
i2_median,0.00156300360642428,0.9593099073126904,0.6741573033707865,0.6900749063670412
