combiner,n,rho,p,epv_cut,acc,majority,helped_rate
lr_merge,1996,-0.09918056239667053,9.028339573678908e-06,8.40625,0.6267535070140281,0.6297595190380761,0.6297595190380761
lr_ensemble,1996,-0.22669210813857008,1.1204914526909878e-24,3.390151515151515,0.6377755511022044,0.6167334669338678,0.6167334669338678
lr_pooled,1996,0.04230120086091799,0.05881999329153943,8.40625,0.7229458917835672,0.7730460921843687,0.7730460921843687
lr_fedavg5,1996,-0.13379425963824265,1.9643534427306264e-09,8.40625,0.6492985971943888,0.6412825651302605,0.6412825651302605
gb_ensemble,1996,-0.11403484835951098,3.2529332800401904e-07,8.40625,0.6938877755511023,0.7079158316633266,0.7079158316633266
gb_pooled,1910,-0.01183134162702449,0.605329865271409,8.443749999999994,0.7586387434554974,0.8026178010471204,0.8026178010471204
