target,seed,n_partners,epv,A_merge_rules_dAUPRC,A_merge_rules_dslope,A_merge_rules_dintercept,B_merge_dp_dAUPRC,B_merge_dp_dslope,B_merge_dp_dintercept
1,0,3,68.9375,-0.07308073823680228,-0.3743024039716695,-0.01221068555360616,-0.061141531350679346,0.07371077344823518,-0.11420699065321749
1,1,1,68.9375,-0.013238558743082551,-0.06513301459342347,0.05297456318467669,-0.008603129343656535,-0.46122219631096795,0.05505635076672716
1,2,1,68.9375,-0.004136763333776272,0.04098240559326105,-0.0032540062600038833,-0.007015804938364567,0.7667800630580544,0.005055604104393485
1,3,2,68.9375,-0.04531334867822423,-0.039145687725886114,-0.07292678326611174,-0.039892905718217964,1.391799438208048,-0.0252346798783033
1,4,3,68.9375,-0.08619732943352193,-0.5510472619692762,-0.002900929127991392,-0.08738889997093374,-0.07186923669946044,-0.10254521829602958
1,5,1,68.9375,-0.010086649703517359,-0.005522813117808445,-0.003236640159627713,-0.0008865237814309479,0.707239966122728,0.0052749506065353224
1,6,3,68.9375,-0.0031101954844539037,0.24464686352080633,0.018704485868230203,-0.016161526508793433,1.1860327401879707,0.061542168661000374
1,7,3,68.9375,-0.047338816696017194,-0.11958356056776709,0.012869515831678613,-0.0423801595090364,0.9608756326995973,-0.0050299701864185975
1,8,1,68.9375,0.002486795901363026,0.04333246415104319,-0.009227965940744542,-0.002499667168865405,0.38935582737982255,-0.0018402035413857543
1,9,1,68.9375,-0.003416683084477623,-0.026142642480097678,0.018418065747337342,-0.010469605847188701,0.47919184577702456,0.024042535102259344
2,0,2,9.25,-0.1390576456700933,-0.10386971136464263,-0.21604185650915295,-0.08039150384579102,-0.5593725630708254,-0.1995531075038166
2,1,1,9.25,-0.0064134489916168325,0.2000876312993115,-0.0386634501641,-0.020770872783640926,0.8675872129996307,-0.05029955384727444
2,2,1,9.25,-0.0523132968806328,0.5971414411106758,-0.1449414426655653,-0.03555090667779187,1.5352261544043466,-0.06279163587967668
2,3,2,9.25,-0.04696402584935688,-0.3868175889177762,-0.14153866731358175,-0.0699284620397127,-0.13369219961780887,-0.18429011100320775
2,4,3,9.25,-0.046652869616151615,0.14171179017388635,-0.22244385652552523,-0.07260041056626243,0.11017731230047612,-0.28112794264138635
