method,auprc,delta,p,n_paired
merge (ours),0.13612786786932468,0.0,1.0,20
merge + local intercept,0.13612786786932468,-6.938893903907229e-19,1.0,20
merge_random_effects,0.13567374340923335,-0.0004541244600913742,0.8694877624511719,20
merge_RE + local intercept,0.13567374340923335,-0.0004541244600913742,0.8694877624511719,20
local_only,0.13441356810819285,-0.0017142997611318822,0.10539817810058594,20
pooled_raw_data,0.12843053257873985,-0.0076973352905848474,0.0003948211669921875,20
