feature,rho,p,loso_acc,majority
epv_target,-0.023053900515784487,0.09208503226091179,0.6404494382022472,0.6426966292134831
n_target,-0.04312679809745466,0.0016202713792084582,0.6383895131086142,0.6426966292134831
n_min,-0.01654064495119701,0.22685024783676128,0.6426966292134831,0.6426966292134831
n_partner_total,0.07600736850575822,2.6822307059751308e-08,0.6323970037453184,0.6426966292134831
ratio_partner_to_target,0.0883097318750116,1.0171363499361275e-10,0.6323970037453184,0.6426966292134831
n_partners,0.08314401458266411,1.1657184603081882e-09,0.6426966292134831,0.6426966292134831
schema_jaccard,-0.14552574514462416,1.1485465678497604e-26,0.6344569288389513,0.6426966292134831
q_median,0.036554244537227006,0.007551758481788701,0.6327715355805243,0.6426966292134831
i2_median,0.025469703247566866,0.06273394481512702,0.6295880149812734,0.6426966292134831
