benefit,benefit_n2,benefit_unif,benefit_w5,benefit_wepv,dataset,eps,epv_target,fedavg_1r,fedavg_30r,fedavg_5r,local,merge,merge_n2,merge_unif,merge_w5,merge_wepv,n_partners,n_target,seed,target,w_epv
-0.0184723036959743,-0.008105886253988615,-0.03838739948030065,-0.022077156263895892,-0.05997490711823311,matrix,0.5,11.0,-0.08839878379223723,-0.04684703591217659,-0.04870967078463004,0.207462965444959,0.1889906617489847,0.1993570791909704,0.16907556596465836,0.18538580918106312,0.1474880583267259,3,2722,0,CCU-care,1.0
0.041747524049357804,0.05605161994946492,0.02839381977315894,0.029734100608712816,-0.08376088171739296,matrix,1.0,11.0,-0.029712308659734205,-0.12380955884084363,-0.11706838652917241,0.22949104611866786,0.27123857016802566,0.2855426660681328,0.2578848658918268,0.2592251467273807,0.1457301644012749,3,2722,0,CCU-care,1.0
0.045656221200953195,0.05562348171692194,0.032440320431826875,0.02223024747697544,-0.07053793502000824,matrix,2.0,11.0,-0.05316862673828632,-0.13344572187199313,-0.12615183676235434,0.24366755491601733,0.2893237761169705,0.29929103663293927,0.2761078753478442,0.26589780239299277,0.17312961989600908,3,2722,0,CCU-care,1.0
-0.005246670116112795,-0.0036869582164538728,-0.014108562234530497,-0.006338763782234469,-0.11749905545706546,matrix,5.0,11.0,-0.060422381345662135,-0.18999441237642853,-0.07192512621227265,0.2994712622316753,0.2942245921155625,0.29578430401522143,0.2853626999971448,0.29313249844944084,0.18197220677460985,3,2722,0,CCU-care,1.0
0.0009064429499394122,0.004409071228919481,-0.00587484178878156,-0.005480035439347664,-0.1138776412145606,matrix,inf,11.0,-0.04530906343891644,-0.008993795234948088,-0.032808170207691945,0.29706734059275564,0.29797378354269505,0.3014764118216751,0.2911924988039741,0.29158730515340797,0.18318969937819504,3,2722,0,CCU-care,1.0
0.01576437296947497,0.010960753972150461,0.01556456473883977,0.01556456473883977,-0.06916038119283752,matrix,0.5,11.0,-0.11232583319058076,-0.1063934469861415,-0.11774900799336446,0.22285612543216704,0.238620498401642,0.2338168794043175,0.2384206901710068,0.2384206901710068,0.15369574423932952,1,2722,0,CCU-care,1.0
0.026305820835349908,0.024823222337385514,0.02572496250609288,0.02572496250609288,-0.07657140641157004,matrix,1.0,11.0,-0.11389475540167163,-0.11522041535513655,-0.049145212056967064,0.22501367190207197,0.2513194927374219,0.24983689423945749,0.25073863440816485,0.25073863440816485,0.14844226549050193,1,2722,0,CCU-care,1.0
-1.8037225266109846e-05,-0.004509572375453019,0.003533849775004705,0.003533849775004705,-0.1394092545810555,matrix,2.0,11.0,-0.17965682992844473,-0.18567701457752817,-0.17142190106664362,0.30815823480065496,0.30814019757538885,0.30364866242520194,0.31169208457565967,0.31169208457565967,0.16874898021959947,1,2722,0,CCU-care,1.0
-0.003349687196638529,-0.004634272825976338,-0.0007340426786925369,-0.0007340426786925369,-0.10767408092468747,matrix,5.0,11.0,-0.0875423614383316,-0.13393397016595654,-0.09080444825765469,0.2780834499453082,0.2747337627486697,0.27344917711933187,0.27734940726661567,0.27734940726661567,0.17040936902062073,1,2722,0,CCU-care,1.0
-0.011267990279700435,-0.014681889688659688,-0.010478306036650065,-0.010478306036650065,-0.12515676663528608,matrix,inf,11.0,-0.06269746565053075,-0.03385062975689879,-0.05066112815460522,0.29706734059275564,0.2857993503130552,0.28238545090409595,0.28658903455610557,0.28658903455610557,0.17191057395746956,1,2722,0,CCU-care,1.0
0.0745319932000493,0.08454793194220431,0.052555344308479995,0.052555344308479995,-0.030248779766064243,matrix,0.5,11.0,-0.06635575215346207,-0.09029776092630798,-0.0919405077986222,0.19599972998111245,0.27053172318116175,0.28054766192331676,0.24855507428959245,0.24855507428959245,0.1657509502150482,1,2722,0,CCU-care,1.0
0.025634875661622702,0.023358157692707104,0.025486416274787538,0.025486416274787538,-0.030193486497143096,matrix,1.0,11.0,-0.11772314350406174,-0.17581250299793375,-0.06510374521194351,0.2622467442083154,0.2878816198699381,0.2856049019010225,0.28773316048310293,0.28773316048310293,0.2320532577111723,1,2722,0,CCU-care,1.0
0.021741202703519757,0.021784280293228764,0.022598183918583536,0.022598183918583536,-0.028871501398146926,matrix,2.0,11.0,-0.035656119430706346,-0.11391108700561933,-0.18099671362802489,0.267228370808018,0.28896957351153774,0.28901265110124674,0.2898265547266015,0.2898265547266015,0.23835686940987105,1,2722,0,CCU-care,1.0
0.02550858273237583,0.02389763530389366,0.025742253215998212,0.025742253215998212,-0.029355942751817687,matrix,5.0,11.0,-0.06140059319086383,-0.12529078009331865,-0.07300413064606673,0.28482646446328574,0.3103350471956616,0.3087240997671794,0.31056871767928396,0.31056871767928396,0.25547052171146806,1,2722,0,CCU-care,1.0
0.012099552419133908,0.010055846172066563,0.013281047895789766,0.013281047895789766,-0.03843030928538871,matrix,inf,11.0,-0.041692187681141246,0.006168189598367957,-0.025313363881239836,0.29706734059275564,0.30916689301188954,0.3071231867648222,0.3103483884885454,0.3103483884885454,0.2586370313073669,1,2722,0,CCU-care,1.0
0.01416802420295038,0.01242378969212865,0.015141181857881603,0.018329159569169973,-0.03611562178991021,matrix,0.5,11.0,0.007934233291780973,-0.0979483182243851,-0.004574315875704282,0.1828133605730845,0.19698138477603488,0.19523715026521316,0.1979545424309661,0.20114252014225448,0.1466977387831743,3,2722,0,CCU-care,1.0
0.064044164392911,0.07457172860012845,0.0424590373334634,0.04536269002433296,-0.04569857063794358,matrix,1.0,11.0,-0.015300897308687944,-0.05254842573184085,-0.09898445254347987,0.1923477360308854,0.2563919004237964,0.26691946463101385,0.2348067733643488,0.23771042605521836,0.14664916539294182,3,2722,0,CCU-care,1.0
-0.016212627167368432,-0.010106691411284452,-0.03105403457705297,-0.023464938439623384,-0.11499253330131454,matrix,2.0,11.0,-0.12703983801941904,-0.14740759380416418,-0.14304846069310845,0.2972909950240215,0.2810783678566531,0.28718430361273706,0.26623696044696854,0.2738260565843981,0.18229846172270697,3,2722,0,CCU-care,1.0
0.012532088194160629,0.016125874618517777,0.0070120600304278136,0.007847519820934068,-0.09161639993051038,matrix,5.0,11.0,-0.044992365124969236,-0.09820473594315593,-0.09769799878095886,0.27964947247017735,0.292181560664338,0.29577534708869513,0.28666153250060517,0.2874969922911114,0.18803307253966697,3,2722,0,CCU-care,1.0
0.009615442319851841,0.009892898933496541,0.0003071320744691963,0.0040875969099258835,-0.11055093431671603,matrix,inf,11.0,-0.042314567428307026,0.002447273645269976,-0.02575913183254963,0.29706734059275564,0.3066827829126075,0.3069602395262522,0.29737447266722483,0.3011549375026815,0.1865164062760396,3,2722,0,CCU-care,1.0
