benefit,benefit_w5,dataset,eps,epv_target,fedavg_10r,fedavg_1r,fedavg_2r,fedavg_30r,fedavg_5r,local,merge,merge_w5,n_partners,n_target,seed,target
-0.020086250276619505,-0.013342976354249525,mimic-11site,0.1,11.0,-0.02089720438073417,0.010576103471956005,0.07379640942877422,-0.011599344486469987,0.056838154798499047,0.1424324632360875,0.12234621295946799,0.12908948688183797,3,2722,0,CCU-care
0.028964115904688115,0.0023727160951629855,mimic-11site,0.5,11.0,0.07988152592645265,0.07449855720368465,0.052176178795833306,0.04107115509074796,0.05395221813492479,0.09976321826858392,0.12872733417327203,0.1021359343637469,3,2722,0,CCU-care
0.04484192854498076,0.02471146784925371,mimic-11site,1.0,11.0,-0.02307386133699743,-0.046286367812712975,-0.02223174450600582,-0.03782298307305479,-0.010424194779703827,0.1868124053357391,0.23165433388071985,0.2115238731849928,3,2722,0,CCU-care
0.048690210642562015,0.02412013158424514,mimic-11site,2.0,11.0,-0.05988671608609547,-0.025295020757445635,-0.02016561782226972,-0.01362533419848963,-0.04314794636711028,0.2281047481728143,0.2767949588153763,0.25222487975705943,3,2722,0,CCU-care
0.010612969928804283,0.00116068060010599,mimic-11site,5.0,11.0,-0.13571187400818785,-0.06982710008044124,-0.042698792444193195,-0.1330349156025879,-0.09666650088625367,0.28604353055507736,0.29665650048388165,0.28720421115518335,3,2722,0,CCU-care
0.00480004193234107,0.0010842962969233039,mimic-11site,10.0,11.0,-0.11652958297151306,-0.052244448915545916,-0.0031028619461477835,-0.10133466830108442,-0.08667627218994625,0.29412139157804135,0.2989214335103824,0.29520568787496465,3,2722,0,CCU-care
0.0009064429499394122,-0.005480035439347664,mimic-11site,inf,11.0,-0.02489452555880367,-0.04530906343891644,-0.038372741446950964,-0.008993795234948088,-0.032808170207691945,0.29706734059275564,0.29797378354269505,0.29158730515340797,3,2722,0,CCU-care
-0.014518825018718318,-0.007600082378457107,mimic-11site,0.1,11.0,-0.027345108902659343,0.005191311132615173,-0.006676685750242911,-0.0014480508661828262,0.021932924312681595,0.1559816221474808,0.14146279712876247,0.14838153976902368,3,2722,0,CCU-care
-0.08448406369742631,-0.058260183190603276,mimic-11site,0.5,11.0,-0.09933297258975926,-0.10787805692117569,-0.09667922244321042,-0.1281766491795338,-0.10985950580765841,0.2596168644880229,0.1751328007905966,0.20135668129741963,3,2722,0,CCU-care
0.012871871611417451,0.017314403382075128,mimic-11site,1.0,11.0,-0.07759719324624353,-0.09985308993701728,-0.08912387343628925,-0.05951640100383193,-0.13136618237102227,0.24736552554721386,0.2602373971586313,0.264679928929289,3,2722,0,CCU-care
0.007040987753289485,0.0015804904201888736,mimic-11site,2.0,11.0,-0.07974294235447882,-0.12920661685706744,-0.11288661310336162,-0.13924595044411364,-0.10822467130412983,0.2749419408770645,0.28198292863035396,0.27652243129725335,3,2722,0,CCU-care
0.003375417810033088,0.00179869930962967,mimic-11site,5.0,11.0,-0.14563815415378148,-0.043789900425988626,-0.08565850926237409,-0.1236242772624791,-0.05420976123951682,0.2808772496658279,0.284252667475861,0.28267594897545756,3,2722,0,CCU-care
-0.004543967588843789,-0.0046356844577082335,mimic-11site,10.0,11.0,-0.13185175099125152,-0.06442604294956547,-0.06334803249767251,-0.09164995100714751,-0.07594814584606663,0.29274117324788984,0.28819720565904605,0.2881054887901816,3,2722,0,CCU-care
-0.0011933303756857527,-0.0006162038922502555,mimic-11site,inf,11.0,-0.02602677930464259,-0.05124275206942927,-0.044162081484533156,-0.009897897230167874,-0.03620783350418488,0.29706734059275564,0.2958740102170699,0.2964511367005054,3,2722,0,CCU-care
0.017024784624403336,0.01625354307584602,mimic-11site,0.1,11.0,0.04049478950492412,0.03783857979952181,0.044944590368835455,0.05653669065782964,0.06325893288355987,0.11701494756590287,0.1340397321903062,0.1332684906417489,2,2722,0,CCU-care
-0.033644602988863515,-0.03138694276066259,mimic-11site,0.5,11.0,-0.0528985252177204,-0.05778756728856671,-0.08858626229121352,-0.06501473762378074,0.001228587208690013,0.21864651785476258,0.18500191486589906,0.1872595750941,2,2722,0,CCU-care
-0.025741256226251952,-0.02295128293924112,mimic-11site,1.0,11.0,-0.03374968773730652,-0.04793814659395326,-0.0726456891259101,-0.06693346758095131,-0.07373048885920705,0.21222028308806043,0.18647902686180848,0.1892690001488193,2,2722,0,CCU-care
-0.033526087426731827,-0.03014331953108962,mimic-11site,2.0,11.0,-0.16363868371014267,-0.07998310520307939,-0.07157507989967418,-0.11658339522598604,-0.12337715363799906,0.2756111721124901,0.24208508468575826,0.24546785258140047,2,2722,0,CCU-care
-0.009944969219542243,-0.00562476081878982,mimic-11site,5.0,11.0,-0.10788401197493946,-0.03766361212259775,-0.10055021934265951,-0.1158274934990503,-0.08387077732424927,0.2814250607512565,0.27148009153171426,0.2758002999324667,2,2722,0,CCU-care
-0.014075209286866397,-0.011926364579625592,mimic-11site,10.0,11.0,-0.055398729090293364,-0.06102803604078269,-0.0417601712759883,-0.10896773944810378,-0.11527931571685357,0.2871084470350555,0.2730332377481891,0.2751820824554299,2,2722,0,CCU-care
-0.021285509079612686,-0.019752984749525637,mimic-11site,inf,11.0,-0.026305697088310653,-0.04434231411788958,-0.03908617472065201,-0.015053675132940758,-0.03344785243733578,0.29706734059275564,0.27578183151314295,0.27731435584323,2,2722,0,CCU-care
0.03376315527076344,0.01625027506109862,mimic-11site,0.1,11.0,0.04438781068051696,0.043610886105890936,0.02367750987230778,0.04889206482994833,0.026985570011174742,0.09499553440785226,0.1287586896786157,0.11124580946895088,2,2722,0,CCU-care
0.11067997456948772,0.06960501100407415,mimic-11site,0.5,11.0,-0.007720275974062579,0.03790045946559037,-0.013526462969843028,-0.006153127131524411,0.03988035516374144,0.1537346367877924,0.2644146113572801,0.22333964779186655,2,2722,0,CCU-care
0.07135176206677873,0.04796413213487849,mimic-11site,1.0,11.0,-0.044006246366812274,0.02807268770757443,-0.055400524898792464,-0.10230088691020042,-0.05851289849991381,0.22890352730911173,0.30025528937589047,0.2768676594439902,2,2722,0,CCU-care
