feature,rho,p,loso_acc,majority
epv_target,-0.009695611264675635,0.7388205425414084,0.5881856540084388,0.6658227848101266
n_target,nan,nan,0.6658227848101266,0.6658227848101266
n_min,nan,nan,0.6658227848101266,0.6658227848101266
n_partner_total,0.0035871915808956445,0.9018260334236414,0.6658227848101266,0.6658227848101266
ratio_partner_to_target,0.0035871915808956445,0.9018260334236414,0.6658227848101266,0.6658227848101266
n_partners,0.0035871915808956445,0.9018260334236414,0.6658227848101266,0.6658227848101266
schema_jaccard,nan,nan,0.6658227848101266,0.6658227848101266
q_median,0.078079755177706,0.007165062527818584,0.6455696202531646,0.6658227848101266
i2_median,0.10676053468892838,0.0002316342911208688,0.6455696202531646,0.6658227848101266
