dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,lam_best,lam_cw,d_local,d_extra,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_fix_025,ap_fix_050,ap_fix_075,ap_oracle_binary,ap_oracle_lambda,ap_blend_cw,ap_oracle_lambda_cw,ap_gate_loso,cut_loso,ap_gate_bestcut
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,0.0,0.75,nan,36,-1,0.3173539991193024,0.3308198015492112,0.3308198015492112,0.3173539991193024,0.3173539991193024,0.3254603677191485,0.3313041261413685,0.3359274202528247,0.3308198015492112,0.3359274202528247,nan,nan,0.3173539991193024,2.103448275862069,0.3173539991193024
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,0.375,0.625,nan,36,-1,0.336894008870085,0.3376839774224172,0.3376839774224172,0.336894008870085,0.3434443803290919,0.3424415937562245,0.3460636507429101,0.3453751788940963,0.3376839774224172,0.34686115806197265,nan,nan,0.336894008870085,2.103448275862069,0.336894008870085
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,0.375,0.625,nan,36,-1,0.29803286006994156,0.31221249784964134,0.31221249784964134,0.29803286006994156,0.3120201303999786,0.3097468031985686,0.31485767877101445,0.318076642981844,0.31221249784964134,0.3184860581519185,nan,nan,0.29803286006994156,2.103448275862069,0.29803286006994156
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,1.0,0.625,nan,36,-1,0.32187521962290294,0.31014940530573193,0.31014940530573193,0.31014940530573193,0.31014940530573193,0.32170782285009863,0.3250606384014187,0.3200104696961185,0.32187521962290294,0.3255707699197661,nan,nan,0.32187521962290294,2.103448275862069,0.32187521962290294
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),1,8420,7674,7.222222222222222,1.0,0.0,nan,36,-1,0.35158335467847635,0.32412750899106946,0.32412750899106946,0.32412750899106946,0.32412750899106946,0.3486703114513404,0.3457053044622545,0.3392502726662911,0.35158335467847635,0.35158335467847635,nan,nan,0.35158335467847635,2.103448275862069,0.35158335467847635
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.125,0.75,nan,36,-1,0.3173539991193024,0.32413154099625474,0.32413154099625474,0.3173539991193024,0.3227266520466652,0.3266130912150126,0.332815986565965,0.33481799090590264,0.32413154099625474,0.33481799090590264,nan,nan,0.3173539991193024,2.103448275862069,0.3173539991193024
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.0,0.75,nan,36,-1,0.336894008870085,0.3351313606024786,0.3351313606024786,0.336894008870085,0.336894008870085,0.3436710143899297,0.34883768038921775,0.3496980194794616,0.336894008870085,0.3496980194794616,nan,nan,0.336894008870085,2.103448275862069,0.336894008870085
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.625,0.5,nan,36,-1,0.29803286006994156,0.29158947410085945,0.29158947410085945,0.29803286006994156,0.3084263505235271,0.3080495944075974,0.30891590744475383,0.30458889489474317,0.29803286006994156,0.30891590744475383,nan,nan,0.29803286006994156,2.103448275862069,0.29803286006994156
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.875,0.375,nan,36,-1,0.32187521962290294,0.30035586258138924,0.30035586258138924,0.30035586258138924,0.31293242027560686,0.3233171952798581,0.3197047238618186,0.317988651914959,0.32187521962290294,0.3240675942974314,nan,nan,0.32187521962290294,2.103448275862069,0.32187521962290294
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),4,8420,27413,7.222222222222222,0.5,0.0,nan,36,-1,0.35158335467847635,0.29973427404208186,0.29973427404208186,0.35158335467847635,0.3469300388084862,0.34955083614195565,0.3469300388084862,0.33176340583256836,0.35158335467847635,0.35158335467847635,nan,nan,0.35158335467847635,2.103448275862069,0.35158335467847635
mimic4_sites,Cardiac Vascular Intensive Care Unit (CVICU),3,8420,27228,7.222222222222222,0.25,0.625,nan,36,-1,0.3173539991193024,0.33814860042975803,0.33814860042975803,0.3173539991193024,0.3303467021831776,0.3303467021831776,0.33669138408215615,0.3402416022371668,0.33814860042975803,0.34112060249267323,nan,nan,0.3173539991193024,2.103448275862069,0.3173539991193024
