dataset,target,seed,epv_target,k_partners,bias2,variance,auprc,n_draws
mimic-11site,CCU-care,0,11.018518518518519,0,0.12613061836871417,0.610155416550821,0.32366380549679846,24
mimic-11site,CCU-care,0,11.018518518518519,1,0.9193674116794062,0.4588431487978691,0.3134965972959219,24
mimic-11site,CCU-care,0,11.018518518518519,2,1.1826856865543358,0.368244073099428,0.30829173467614507,24
mimic-11site,CCU-care,0,11.018518518518519,3,1.4580816127445035,0.24316554387633685,0.30736104148867854,24
mimic-11site,CCU-care,0,11.018518518518519,4,1.4831104232294516,0.14372734949930038,0.3102899120169094,24
mimic-11site,CCU-care,1,11.018518518518519,0,0.11261139318673612,0.5314893866153177,0.3655853633999378,24
mimic-11site,CCU-care,1,11.018518518518519,1,0.6958705872191233,0.46073154791122733,0.3771558882722626,24
mimic-11site,CCU-care,1,11.018518518518519,2,0.9830776880674259,0.3034290421118698,0.38122375033894934,24
mimic-11site,CCU-care,1,11.018518518518519,3,1.1747918866580156,0.21228582803547072,0.37797772083302933,24
mimic-11site,CCU-care,1,11.018518518518519,4,1.1166817130015323,0.13407828883516928,0.3916255603468408,24
mimic-11site,CCU-meta,0,5.962962962962963,0,0.11452487124447813,0.49821894054530275,0.4147722681536437,24
mimic-11site,CCU-meta,0,5.962962962962963,1,1.784099505080424,0.7118989367887436,0.4286643318672967,24
mimic-11site,CCU-meta,0,5.962962962962963,2,2.389896927011352,0.34657500047051387,0.4374491163635133,24
mimic-11site,CCU-meta,0,5.962962962962963,3,2.7661673308576478,0.23540270382666306,0.44071263298368724,24
mimic-11site,CCU-meta,0,5.962962962962963,4,2.7788800006032366,0.14918387367536648,0.447398157121723,24
mimic-11site,CCU-meta,1,5.962962962962963,0,0.17363074456159613,0.6425392254606854,0.4026703752418583,24
mimic-11site,CCU-meta,1,5.962962962962963,1,1.1489227016455845,0.6297519476384622,0.3870986720162161,24
mimic-11site,CCU-meta,1,5.962962962962963,2,1.3623420929053252,0.38164745668685846,0.4001321136696528,24
mimic-11site,CCU-meta,1,5.962962962962963,3,1.4070684833339326,0.26855861286238697,0.4170813517940704,24
mimic-11site,CCU-meta,1,5.962962962962963,4,1.5044297654536354,0.16665947326432773,0.43194265199864484,24
mimic-11site,CSRU-care,0,4.14,0,0.06714090020467672,1.0575192893333292,0.26077510665577164,24
