dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,lam_best,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_fix_025,ap_fix_050,ap_fix_075,ap_oracle_binary,ap_oracle_lambda,ap_gate_loso,cut_loso,ap_gate_bestcut
acs_full_income,1,3,15587,59997,484.7,0.0,0.0,0.695831316313759,0.6895771895831653,0.695831316313759,0.695831316313759,0.695831316313759,0.695292572237306,0.6940430230282614,0.6919515246070662,0.695831316313759,0.695831316313759,0.695831316313759,0.0,0.695831316313759
acs_full_income,1,3,15587,59997,484.7,0.0,0.0,0.6894427889908658,0.6835589872906116,0.6894427889908658,0.6894427889908658,0.6894427889908658,0.6889694084640072,0.6876722397464079,0.6859399834026025,0.6894427889908658,0.6894427889908658,0.6894427889908658,0.0,0.6894427889908658
acs_full_income,1,3,15587,59997,484.7,0.0,0.0,0.7045774616212324,0.6974754103444136,0.7045774616212324,0.7045774616212324,0.7045774616212324,0.7038068333154115,0.7024370139613003,0.7002512782311404,0.7045774616212324,0.7045774616212324,0.7045774616212324,0.0,0.7045774616212324
acs_full_income,1,4,15587,134141,484.7,0.0,0.5,0.695831316313759,0.6963995160241612,0.695831316313759,0.695831316313759,0.695831316313759,0.6967766645114029,0.6971950794647274,0.6968483922849159,0.6963995160241612,0.6971950794647274,0.695831316313759,0.0,0.695831316313759
acs_full_income,1,4,15587,134141,484.7,0.25,0.5,0.6894427889908658,0.6896448344196054,0.6894427889908658,0.6894427889908658,0.6899919682663248,0.6899919682663248,0.6902598468601236,0.6901192692247756,0.6896448344196054,0.6902598468601236,0.6894427889908658,0.0,0.6894427889908658
acs_full_income,1,4,15587,134141,484.7,0.375,0.25,0.7045774616212324,0.7032945239346505,0.7045774616212324,0.7045774616212324,0.7046761804744068,0.7047100374763661,0.7044563340247749,0.7038781361753366,0.7045774616212324,0.7047100374763661,0.7045774616212324,0.0,0.7045774616212324
acs_full_income,1,1,15587,4713,484.7,0.0,0.875,0.695831316313759,0.6967666501303319,0.695831316313759,0.695831316313759,0.695831316313759,0.6962450388237105,0.6964842053531274,0.6967059802682734,0.6967666501303319,0.6967926189459089,0.695831316313759,0.0,0.695831316313759
acs_full_income,1,1,15587,4713,484.7,0.5,1.0,0.6894427889908658,0.6901160822393972,0.6894427889908658,0.6901160822393972,0.6898036248483524,0.6897341613205517,0.6898036248483524,0.6899362392593379,0.6901160822393972,0.6901160822393972,0.6894427889908658,0.0,0.6894427889908658
acs_full_income,1,1,15587,4713,484.7,0.625,0.5,0.7045774616212324,0.7046569709584358,0.7045774616212324,0.7046569709584358,0.7046877040089355,0.7046371747573529,0.7047325583901927,0.7047100837163793,0.7046569709584358,0.7047325583901927,0.7045774616212324,0.0,0.7045774616212324
acs_full_income,1,3,15587,190110,484.7,0.0,0.25,0.695831316313759,0.6917438866129151,0.695831316313759,0.695831316313759,0.695831316313759,0.6960753898568517,0.695445616260239,0.6938080938381082,0.695831316313759,0.6960753898568517,0.695831316313759,0.0,0.695831316313759
acs_full_income,1,3,15587,190110,484.7,0.125,0.25,0.6894427889908658,0.6863358229083212,0.6894427889908658,0.6894427889908658,0.6895750422767026,0.6895785724519932,0.689213939068159,0.6880930860122536,0.6894427889908658,0.6895785724519932,0.6894427889908658,0.0,0.6894427889908658
acs_full_income,1,3,15587,190110,484.7,0.0,0.0,0.7045774616212324,0.6996693290588505,0.7045774616212324,0.7045774616212324,0.7045774616212324,0.704286780415678,0.703304283787428,0.7019782951905403,0.7045774616212324,0.7045774616212324,0.7045774616212324,0.0,0.7045774616212324
acs_full_income,1,4,15587,53925,484.7,0.0,0.5,0.695831316313759,0.6966438208158188,0.695831316313759,0.695831316313759,0.695831316313759,0.6964711249431226,0.6969072900496666,0.6968066652376796,0.6966438208158188,0.6969072900496666,0.695831316313759,0.0,0.695831316313759
acs_full_income,1,4,15587,53925,484.7,0.375,0.875,0.6894427889908658,0.6902425278446059,0.6894427889908658,0.6894427889908658,0.6899645693989953,0.6898658206321251,0.6900653209896616,0.6901913790156388,0.6902425278446059,0.6902676215753386,0.6894427889908658,0.0,0.6894427889908658
acs_full_income,1,4,15587,53925,484.7,0.375,0.375,0.7045774616212324,0.7046849149775961,0.7045774616212324,0.7045774616212324,0.7050635418850113,0.7049524492323919,0.7050602341358978,0.704949101470917,0.7046849149775961,0.7050635418850113,0.7045774616212324,0.0,0.7045774616212324
