dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,lam_best,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_fix_025,ap_fix_050,ap_fix_075,ap_oracle_binary,ap_oracle_lambda,ap_gate_loso,cut_loso,ap_gate_bestcut
acs_ladder_10000,1,1,11655,11775,361.9,1.0,0.75,0.7130311275182761,0.7148594595213664,0.7130311275182761,0.7148594595213664,0.7148594595213664,0.7137649290801299,0.7146174571032636,0.7148718331077246,0.7148594595213664,0.7148718331077246,0.7130311275182761,0.0,0.7130311275182761
acs_ladder_10000,1,2,11655,28334,361.9,0.25,0.25,0.7102311012538773,0.7078070603100011,0.7102311012538773,0.7102311012538773,0.710341171481277,0.710341171481277,0.7098443192880968,0.7089110643464445,0.7102311012538773,0.710341171481277,0.7102311012538773,0.0,0.7102311012538773
acs_ladder_10000,1,2,11655,28334,361.9,0.375,0.625,0.6953139117085291,0.6955220812443846,0.6953139117085291,0.6953139117085291,0.6960707842699049,0.6959590662703943,0.6961988951085417,0.6961172486365967,0.6955220812443846,0.6962199010074368,0.6953139117085291,0.0,0.6953139117085291
acs_ladder_10000,1,2,11655,28334,361.9,0.0,0.375,0.7130311275182761,0.7121609469338515,0.7130311275182761,0.7130311275182761,0.7130311275182761,0.7133118636208604,0.7132840064661145,0.7131260543098645,0.7130311275182761,0.7133472631553877,0.7130311275182761,0.0,0.7130311275182761
acs_ladder_10000,1,3,11655,48887,361.9,0.0,0.0,0.7102311012538773,0.7020278828701131,0.7102311012538773,0.7102311012538773,0.7102311012538773,0.7096953766317442,0.7080407997305477,0.7056715004539919,0.7102311012538773,0.7102311012538773,0.7102311012538773,0.0,0.7102311012538773
acs_ladder_10000,1,3,11655,48887,361.9,0.25,0.25,0.6953139117085291,0.6916653662231473,0.6953139117085291,0.6953139117085291,0.6958521137765986,0.6958521137765986,0.6955398595190514,0.6938733864142193,0.6953139117085291,0.6958521137765986,0.6953139117085291,0.0,0.6953139117085291
acs_ladder_10000,1,3,11655,48887,361.9,0.0,0.0,0.7130311275182761,0.7063480957109377,0.7130311275182761,0.7130311275182761,0.7130311275182761,0.7126700317832761,0.7115608870420396,0.7094463806115228,0.7130311275182761,0.7130311275182761,0.7130311275182761,0.0,0.7130311275182761
acs_ladder_10000,1,3,11655,26214,361.9,0.0,0.0,0.7102311012538773,0.7075592215132351,0.7102311012538773,0.7102311012538773,0.7102311012538773,0.709989366549298,0.7094612079475003,0.7087133887336109,0.7102311012538773,0.7102311012538773,0.7102311012538773,0.0,0.7102311012538773
acs_ladder_10000,1,3,11655,26214,361.9,0.25,0.0,0.6953139117085291,0.6930649652032921,0.6953139117085291,0.6953139117085291,0.6952304343936807,0.6952304343936807,0.6947475851738427,0.6939665371459809,0.6953139117085291,0.6953139117085291,0.6953139117085291,0.0,0.6953139117085291
acs_ladder_10000,1,3,11655,26214,361.9,0.0,0.0,0.7130311275182761,0.7086973261342905,0.7130311275182761,0.7130311275182761,0.7130311275182761,0.7121624018459088,0.7112228640782962,0.7101838740263222,0.7130311275182761,0.7130311275182761,0.7130311275182761,0.0,0.7130311275182761
