dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_oracle
lendingclub,AK,3,60,3096,0.6666666666666666,0.875,0.19496131887436235,0.3389584328714763,0.3389584328714763,0.3389584328714763,0.3149108138238573,0.3389584328714763
lendingclub,AK,3,60,3096,0.6666666666666666,0.0,0.23525252525252527,0.3348251748251748,0.3348251748251748,0.23525252525252527,0.23525252525252527,0.3348251748251748
lendingclub,AK,3,60,3096,0.6666666666666666,1.0,0.2548830409356725,0.3536369910282954,0.3536369910282954,0.3536369910282954,0.3536369910282954,0.3536369910282954
lendingclub,AK,4,60,7949,0.6666666666666666,0.875,0.19496131887436235,0.35324414715719066,0.35324414715719066,0.35324414715719066,0.3149108138238573,0.35324414715719066
lendingclub,AK,4,60,7949,0.6666666666666666,0.0,0.23525252525252527,0.26430735930735927,0.26430735930735927,0.23525252525252527,0.23525252525252527,0.26430735930735927
lendingclub,AK,4,60,7949,0.6666666666666666,1.0,0.2548830409356725,0.37347826086956526,0.37347826086956526,0.37347826086956526,0.37347826086956526,0.37347826086956526
lendingclub,AK,1,60,816,0.6666666666666666,0.875,0.19496131887436235,0.3717948717948718,0.3717948717948718,0.3717948717948718,0.35750915750915746,0.3717948717948718
lendingclub,AK,1,60,816,0.6666666666666666,0.0,0.23525252525252527,0.2993073593073593,0.2993073593073593,0.23525252525252527,0.23525252525252527,0.2993073593073593
lendingclub,AK,1,60,816,0.6666666666666666,1.0,0.2548830409356725,0.36725274725274726,0.36725274725274726,0.36725274725274726,0.36725274725274726,0.36725274725274726
lendingclub,AK,3,60,795,0.6666666666666666,1.0,0.19496131887436235,0.2742063492063492,0.2742063492063492,0.2742063492063492,0.2742063492063492,0.2742063492063492
lendingclub,AK,3,60,795,0.6666666666666666,1.0,0.23525252525252527,0.22551036682615627,0.22551036682615627,0.22551036682615627,0.22551036682615627,0.23525252525252527
lendingclub,AK,3,60,795,0.6666666666666666,1.0,0.2548830409356725,0.32985527544351073,0.32985527544351073,0.32985527544351073,0.32985527544351073,0.32985527544351073
lendingclub,AK,4,60,2271,0.6666666666666666,0.875,0.19496131887436235,0.40815850815850807,0.40815850815850807,0.40815850815850807,0.35324414715719066,0.40815850815850807
lendingclub,AK,4,60,2271,0.6666666666666666,0.0,0.23525252525252527,0.35966873706004143,0.35966873706004143,0.23525252525252527,0.23525252525252527,0.35966873706004143
lendingclub,AK,4,60,2271,0.6666666666666666,1.0,0.2548830409356725,0.46450216450216447,0.46450216450216447,0.46450216450216447,0.46450216450216447,0.46450216450216447
lendingclub,AK,1,60,298,0.6666666666666666,0.125,0.19496131887436235,0.45379487179487177,0.45379487179487177,0.19496131887436235,0.21846153846153846,0.45379487179487177
lendingclub,AK,1,60,298,0.6666666666666666,0.0,0.23525252525252527,0.21693043798306957,0.21693043798306957,0.23525252525252527,0.23525252525252527,0.23525252525252527
lendingclub,AK,1,60,298,0.6666666666666666,1.0,0.2548830409356725,0.2754615384615384,0.2754615384615384,0.2754615384615384,0.2754615384615384,0.2754615384615384
lendingclub,AK,2,60,1921,0.6666666666666666,0.75,0.19496131887436235,0.36928571428571433,0.36928571428571433,0.36928571428571433,0.28434898434898437,0.36928571428571433
lendingclub,AK,2,60,1921,0.6666666666666666,1.0,0.23525252525252527,0.27824016563146997,0.27824016563146997,0.27824016563146997,0.27824016563146997,0.27824016563146997
lendingclub,AK,2,60,1921,0.6666666666666666,0.875,0.2548830409356725,0.3854545454545454,0.3854545454545454,0.3854545454545454,0.33994076099339254,0.3854545454545454
lendingclub,AK,3,60,2110,0.6666666666666666,0.875,0.19496131887436235,0.2986346986346986,0.2986346986346986,0.2986346986346986,0.2777896017026452,0.2986346986346986
lendingclub,AK,3,60,2110,0.6666666666666666,1.0,0.23525252525252527,0.2734782608695652,0.2734782608695652,0.2734782608695652,0.2734782608695652,0.2734782608695652
lendingclub,AK,3,60,2110,0.6666666666666666,1.0,0.2548830409356725,0.3933333333333333,0.3933333333333333,0.3933333333333333,0.3933333333333333,0.3933333333333333
lendingclub,AK,3,60,1534,0.6666666666666666,1.0,0.19496131887436235,0.34982517482517483,0.34982517482517483,0.34982517482517483,0.34982517482517483,0.34982517482517483
lendingclub,AK,3,60,1534,0.6666666666666666,0.875,0.23525252525252527,0.2981159420289855,0.2981159420289855,0.23525252525252527,0.2823593073593073,0.2981159420289855
lendingclub,AK,3,60,1534,0.6666666666666666,1.0,0.2548830409356725,0.4066666666666666,0.4066666666666666,0.4066666666666666,0.4066666666666666,0.4066666666666666
lendingclub,AK,1,60,317,0.6666666666666666,0.75,0.19496131887436235,0.29794871794871797,0.29794871794871797,0.29794871794871797,0.2892948717948718,0.29794871794871797
lendingclub,AK,1,60,317,0.6666666666666666,0.0,0.23525252525252527,0.2815567765567766,0.2815567765567766,0.23525252525252527,0.23525252525252527,0.2815567765567766
