chose_chosen,dataset,epv_target,gain_vs_best_solo,gain_vs_default,gain_vs_selected,gain_vs_tuned,local_best_solo,local_default,local_selected,local_tuned,merge,n_partners,n_target,seed,target
tuned,heart-4site,7.461538461538462,0.0052651761509783235,-0.005301084156170477,0.004636686421249925,0.0052651761509783235,0.9221726371859039,0.9327388974930527,0.9228011269156323,0.9221726371859039,0.9274378133368822,1,212,0,cleveland
selected,heart-4site,7.461538461538462,-0.019377927401040163,-0.009575723898276989,-0.019377927401040163,-0.016743782540565855,0.8869620330097353,0.8771598295069721,0.8869620330097353,0.884327888149261,0.8675841056086951,1,212,1,cleveland
tuned,heart-4site,7.461538461538462,0.007540806368979913,-0.003025453938168887,0.0069123166392515145,0.007540806368979913,0.9221726371859039,0.9327388974930527,0.9228011269156323,0.9221726371859039,0.9297134435548838,3,212,0,cleveland
selected,heart-4site,7.461538461538462,-0.026658025775528893,-0.01685582227276572,-0.026658025775528893,-0.024023880915054585,0.8869620330097353,0.8771598295069721,0.8869620330097353,0.884327888149261,0.8603040072342064,3,212,1,cleveland
tuned,heart-4site,7.461538461538462,0.014233901763700207,0.003667641456551407,0.013605412033971809,0.014233901763700207,0.9221726371859039,0.9327388974930527,0.9228011269156323,0.9221726371859039,0.9364065389496041,2,212,0,cleveland
selected,heart-4site,7.461538461538462,-0.010445098637653749,-0.0006428951348905754,-0.010445098637653749,-0.007810953777179441,0.8869620330097353,0.8771598295069721,0.8869620330097353,0.884327888149261,0.8765169343720816,2,212,1,cleveland
tuned,heart-4site,7.4,0.010389083408849031,0.00304305720203224,0.01240790035636874,0.010389083408849031,0.8070338605636821,0.8143798867704989,0.8050150436161624,0.8070338605636821,0.8174229439725311,1,205,0,hungarian
tuned,heart-4site,7.4,0.02274459939207052,0.03789883676524197,0.02274459939207052,0.02274459939207052,0.8073953229964022,0.7922410856232307,0.8073953229964022,0.8073953229964022,0.8301399223884727,1,205,1,hungarian
tuned,heart-4site,7.4,0.009734174108042892,0.002388147901226101,0.0117529910555626,0.009734174108042892,0.8070338605636821,0.8143798867704989,0.8050150436161624,0.8070338605636821,0.816768034671725,2,205,0,hungarian
tuned,heart-4site,7.4,0.019498222134421095,0.03465245950759255,0.019498222134421095,0.019498222134421095,0.8073953229964022,0.7922410856232307,0.8073953229964022,0.8073953229964022,0.8268935451308232,2,205,1,hungarian
tuned,heart-4site,7.4,0.02357623058494085,0.016230204378124058,0.025595047532460558,0.02357623058494085,0.8070338605636821,0.8143798867704989,0.8050150436161624,0.8070338605636821,0.8306100911486229,3,205,0,hungarian
tuned,heart-4site,7.4,0.014603114194110534,0.029757351567281987,0.014603114194110534,0.014603114194110534,0.8073953229964022,0.7922410856232307,0.8073953229964022,0.8073953229964022,0.8219984371905127,3,205,1,hungarian
tuned,heart-4site,7.4,0.00753211992361924,0.00018609371680244902,0.009550936871138949,0.00753211992361924,0.8070338605636821,0.8143798867704989,0.8050150436161624,0.8070338605636821,0.8145659804873013,1,205,0,hungarian
tuned,heart-4site,7.4,-0.010022986414429003,0.00513125095874245,-0.010022986414429003,-0.010022986414429003,0.8073953229964022,0.7922410856232307,0.8073953229964022,0.8073953229964022,0.7973723365819732,1,205,1,hungarian
selected,heart-4site,0.6,-0.0017782334925191545,0.001521725807440144,-0.0017782334925191545,-0.002798641655784473,0.9903896329484869,0.9870896736485276,0.9903896329484869,0.9914100411117522,0.9886113994559678,1,86,0,switzerland
selected,heart-4site,0.6,-0.007627463161951509,0.0230181557693816,-0.007627463161951509,0.009406550443490591,0.9466374154181137,0.9159917964867806,0.9466374154181137,0.9296034018126716,0.9390099522561622,1,86,1,switzerland
selected,heart-4site,0.6,0.002776604894831558,0.006076564194790857,0.002776604894831558,0.0017561967315662397,0.9903896329484869,0.9870896736485276,0.9903896329484869,0.9914100411117522,0.9931662378433185,3,86,0,switzerland
selected,heart-4site,0.6,-0.0170340136054421,0.013611605325891007,-0.0170340136054421,0.0,0.9466374154181137,0.9159917964867806,0.9466374154181137,0.9296034018126716,0.9296034018126716,3,86,1,switzerland
selected,heart-4site,0.6,0.0017913832199546453,0.005091342519913944,0.0017913832199546453,0.000770975056689327,0.9903896329484869,0.9870896736485276,0.9903896329484869,0.9914100411117522,0.9921810161684416,2,86,0,switzerland
selected,heart-4site,0.6,-0.01528052438644123,0.015365094544891877,-0.01528052438644123,0.00175348921900087,0.9466374154181137,0.9159917964867806,0.9466374154181137,0.9296034018126716,0.9313568910316725,2,86,1,switzerland
selected,heart-4site,0.6,0.004772526919555431,0.00807248621951473,0.004772526919555431,0.0037521187562901126,0.9903896329484869,0.9870896736485276,0.9903896329484869,0.9914100411117522,0.9951621598680424,1,86,0,switzerland
selected,heart-4site,0.6,-0.042170820780704665,-0.011525201849371558,-0.042170820780704665,-0.025136807175262565,0.9466374154181137,0.9159917964867806,0.9466374154181137,0.9296034018126716,0.9044665946374091,1,86,1,switzerland
selected,heart-4site,0.6,0.0038796697766981803,0.007179629076657479,0.0038796697766981803,0.002859261613432862,0.9903896329484869,0.9870896736485276,0.9903896329484869,0.9914100411117522,0.9942693027251851,1,86,0,switzerland
selected,heart-4site,0.6,-0.02788510649499032,0.002760512436342788,-0.02788510649499032,-0.01085109288954822,0.9466374154181137,0.9159917964867806,0.9466374154181137,0.9296034018126716,0.9187523089231234,1,86,1,switzerland
selected,heart-4site,3.272727272727273,0.01961056178122733,0.036198617276736345,0.01961056178122733,0.018236853264442132,0.8187009991574619,0.8021129436619528,0.8187009991574619,0.8200747076742471,0.8383115609386892,2,140,0,va
selected,heart-4site,3.6,0.015980992013273077,0.022665378254550395,0.015980992013273077,0.01156029708659323,0.8955967014432904,0.8889123152020131,0.8955967014432904,0.9000173963699702,0.9115776934565635,2,140,1,va
selected,heart-4site,3.272727272727273,0.009655783398043072,0.026243838893552085,0.009655783398043072,0.008282074881257873,0.8187009991574619,0.8021129436619528,0.8187009991574619,0.8200747076742471,0.8283567825555049,3,140,0,va
selected,heart-4site,3.6,0.021896270367444348,0.028580656608721666,0.021896270367444348,0.0174755754407645,0.8955967014432904,0.8889123152020131,0.8955967014432904,0.9000173963699702,0.9174929718107347,3,140,1,va
selected,heart-4site,3.272727272727273,0.020373783933181233,0.036961839428690246,0.020373783933181233,0.019000075416396034,0.8187009991574619,0.8021129436619528,0.8187009991574619,0.8200747076742471,0.8390747830906431,2,140,0,va
selected,heart-4site,3.6,0.01818684464685616,0.024871230888133478,0.01818684464685616,0.013766149720176313,0.8955967014432904,0.8889123152020131,0.8955967014432904,0.9000173963699702,0.9137835460901466,2,140,1,va
selected,heart-4site,3.272727272727273,-0.0004965875267003428,0.01609146796880867,-0.0004965875267003428,-0.001870296043485542,0.8187009991574619,0.8021129436619528,0.8187009991574619,0.8200747076742471,0.8182044116307615,1,140,0,va
selected,heart-4site,3.6,-0.002187735009945735,0.004496651231331583,-0.002187735009945735,-0.006608429936625582,0.8955967014432904,0.8889123152020131,0.8955967014432904,0.9000173963699702,0.8934089664333447,1,140,1,va
selected,heart-4site,3.272727272727273,0.00536833437408013,0.021956389869589144,0.00536833437408013,0.003994625857294931,0.8187009991574619,0.8021129436619528,0.8187009991574619,0.8200747076742471,0.824069333531542,2,140,0,va
selected,heart-4site,3.6,0.02165588575494315,0.028340271996220467,0.02165588575494315,0.017235190828263303,0.8955967014432904,0.8889123152020131,0.8955967014432904,0.9000173963699702,0.9172525871982335,2,140,1,va
selected,heart-4site,3.272727272727273,-0.01160147509223819,0.004986580403270824,-0.01160147509223819,-0.012975183609023389,0.8187009991574619,0.8021129436619528,0.8187009991574619,0.8200747076742471,0.8070995240652237,1,140,0,va
selected,heart-4site,3.6,0.02365865646467058,0.030343042705947898,0.02365865646467058,0.019237961537990733,0.8955967014432904,0.8889123152020131,0.8955967014432904,0.9000173963699702,0.919255357907961,1,140,1,va
tuned,mimic-11site,11.0,-0.03302371819171945,-0.03276499553273843,-0.03276499553273843,-0.03302371819171945,0.3394650154980833,0.33920629283910225,0.33920629283910225,0.3394650154980833,0.3064412973063638,4,2722,0,CCU-care
selected,mimic-11site,11.0,0.006018844561101577,-0.0030462326510344306,0.006018844561101577,-0.004225930307412251,0.36215898893626575,0.37122406614840175,0.36215898893626575,0.3724037638047796,0.3681778334973673,4,2722,1,CCU-care
