dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,lam_best,lam_cw,d_local,d_extra,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_fix_025,ap_fix_050,ap_fix_075,ap_oracle_binary,ap_oracle_lambda,ap_blend_cw,ap_oracle_lambda_cw,ap_gate_loso,cut_loso,ap_gate_bestcut
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.375,0.375,0.0,27,13,0.33920629283910225,0.3194254911977108,0.33920629283910225,0.33920629283910225,0.3424806795950231,0.3412288387526961,0.33693057927017167,0.32940670173543785,0.33920629283910225,0.3424806795950231,0.31427501205986974,0.3202667298613936,0.33920629283910225,10.709677419354838,0.33920629283910225
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.75,0.375,0.625,27,13,0.37122406614840175,0.3676682793268128,0.37122406614840175,0.3676682793268128,0.37430965182045844,0.3814504265721291,0.38249491886701825,0.37430965182045844,0.37122406614840175,0.38476462314662135,0.36404751910625577,0.3676682793268128,0.37122406614840175,10.709677419354838,0.37122406614840175
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.375,0.375,0.5,27,13,0.385947497421666,0.38155926105631244,0.385947497421666,0.385947497421666,0.40765390716885114,0.3997948836329643,0.4063704495397692,0.3924984243993151,0.385947497421666,0.40765390716885114,0.3923484996863297,0.3962226579511742,0.385947497421666,10.709677419354838,0.385947497421666
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.75,0.5,0.625,27,13,0.3691527082720559,0.3878128193730096,0.3691527082720559,0.3878128193730096,0.3924443470287823,0.38573980507400346,0.39477362994070475,0.3924443470287823,0.3878128193730096,0.39477362994070475,0.3919688469781682,0.39203737945338263,0.3691527082720559,10.709677419354838,0.3691527082720559
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.5,0.125,0.875,27,13,0.3712891493331875,0.3541527646118703,0.3712891493331875,0.3541527646118703,0.37424914749015564,0.3731017125726796,0.37424914749015564,0.361924870395089,0.3712891493331875,0.375753938430813,0.35534349706309365,0.35557871223939685,0.3712891493331875,10.709677419354838,0.3712891493331875
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.5,0.5,0.0,27,13,0.3412729409916229,0.33078807975651053,0.3412729409916229,0.3412729409916229,0.36035447468516085,0.35215812889661924,0.36035447468516085,0.3468391108769936,0.3412729409916229,0.36035447468516085,0.33345016404413474,0.33640141914033656,0.3412729409916229,10.709677419354838,0.3412729409916229
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.125,0.375,0.0,27,13,0.3427093048383347,0.32390038263153087,0.3427093048383347,0.3427093048383347,0.34094448380704895,0.3430376243373921,0.33863488168423045,0.3329771052958954,0.3427093048383347,0.34412387339006395,0.3201466490222244,0.3252378572584475,0.3427093048383347,10.709677419354838,0.3427093048383347
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.25,0.625,0.875,27,13,0.39580752005994585,0.3933720175834503,0.39580752005994585,0.39580752005994585,0.40661790278893994,0.40661790278893994,0.4108440355716348,0.4102507075991363,0.39580752005994585,0.41287459423831485,0.3999235205447788,0.40383294095330635,0.39580752005994585,10.709677419354838,0.39580752005994585
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.25,0.625,0.875,27,13,0.3443337106131557,0.3436477111306067,0.3443337106131557,0.3443337106131557,0.3504472964564127,0.3504472964564127,0.35422308102035266,0.34999448693799,0.3443337106131557,0.356392009772113,0.3457739677944823,0.3549504767630197,0.3443337106131557,10.709677419354838,0.3443337106131557
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.0,1.0,0.125,27,13,0.28772664198940345,0.3096425343605651,0.28772664198940345,0.28772664198940345,0.28772664198940345,0.2992234133050381,0.3034913128112072,0.30791342357835794,0.3096425343605651,0.3096425343605651,0.3074183440123857,0.31154263861415527,0.28772664198940345,10.709677419354838,0.28772664198940345
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.625,0.625,1.0,27,13,0.3324202281767483,0.35288562884534064,0.3324202281767483,0.35288562884534064,0.36639061334737,0.34721133214696964,0.36234956433069837,0.36586781488125664,0.35288562884534064,0.36639061334737,0.35288562884534064,0.36619763576857367,0.3324202281767483,10.709677419354838,0.3324202281767483
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.5,0.375,0.0,27,13,0.3663437326987684,0.3507411124036096,0.3663437326987684,0.3663437326987684,0.37281280237511844,0.3717837174061597,0.37281280237511844,0.3646484264208284,0.3663437326987684,0.3757666044487037,0.3494620072113595,0.3547497875664223,0.3663437326987684,10.709677419354838,0.3663437326987684
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.75,0.125,0.625,27,13,0.43504555217210306,0.4093382759465804,0.43504555217210306,0.4093382759465804,0.4211741774339448,0.43367721817884036,0.4337089041937109,0.4211741774339448,0.43504555217210306,0.43737971389713654,0.4194967796258205,0.4288698774392261,0.43504555217210306,10.709677419354838,0.43504555217210306
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,1.0,0.25,1.0,27,13,0.4382711028454145,0.41702777448083655,0.4382711028454145,0.41702777448083655,0.41702777448083655,0.45189738300090937,0.4440773671337992,0.42791356215687487,0.4382711028454145,0.45189738300090937,0.41702777448083655,0.4218113129603437,0.4382711028454145,10.709677419354838,0.4382711028454145
mimic_sites_unit_x_system,CCU-care,4,2722,18539,11.0,0.25,0.5,0.0,27,13,0.3795614854165345,0.38828955273215743,0.3795614854165345,0.38828955273215743,0.3933991717779208,0.3933991717779208,0.4059892247254369,0.40156565974414515,0.38828955273215743,0.4059892247254369,0.38234905157771604,0.39115460754561293,0.3795614854165345,10.709677419354838,0.3795614854165345
mimic_sites_unit_x_system,CCU-care,3,2722,13431,11.0,0.875,0.375,0.5,27,7,0.33920629283910225,0.33375285428761314,0.33920629283910225,0.33375285428761314,0.337290239753552,0.34484109505227206,0.3452837460479847,0.33957154452267735,0.33920629283910225,0.34645447931265283,0.3372541672095531,0.3383319850192051,0.33920629283910225,10.709677419354838,0.33920629283910225
mimic_sites_unit_x_system,CCU-care,3,2722,13431,11.0,0.875,0.75,0.625,27,7,0.37122406614840175,0.39534093658062364,0.37122406614840175,0.39534093658062364,0.39779782409582365,0.383120280277703,0.39081179390555676,0.3988307650823479,0.39534093658062364,0.3988307650823479,0.3910701531649083,0.39534093658062364,0.37122406614840175,10.709677419354838,0.37122406614840175
mimic_sites_unit_x_system,CCU-care,3,2722,13431,11.0,0.375,0.5,0.375,27,7,0.385947497421666,0.3813911373909065,0.385947497421666,0.385947497421666,0.3923681307172772,0.39178738310876665,0.3924100331274652,0.3885534526486044,0.385947497421666,0.3924100331274652,0.40024773607807923,0.4030194159108229,0.385947497421666,10.709677419354838,0.385947497421666
mimic_sites_unit_x_system,CCU-care,3,2722,13431,11.0,0.625,0.75,0.5,27,7,0.3691527082720559,0.3910349091186746,0.3691527082720559,0.3910349091186746,0.3931299049855,0.38176327175261116,0.39096602431364363,0.39428571544218893,0.3910349091186746,0.39428571544218893,0.39763508596903707,0.39763508596903707,0.3691527082720559,10.709677419354838,0.3691527082720559
