combiner,n,rho,p,epv_cut,acc,majority,helped_rate
lr_merge,238,-0.4683045282442176,2.242633540263334e-14,7.461538461538462,0.7352941176470589,0.5084033613445378,0.49159663865546216
lr_ensemble,238,-0.49908192227555626,2.1447577098573745e-16,7.461538461538462,0.7647058823529411,0.5798319327731093,0.5798319327731093
lr_pooled,238,-0.02628700375022807,0.6866019143006623,32.666666666666664,0.680672268907563,0.7647058823529411,0.7647058823529411
lr_fedavg5,238,-0.3378071023770861,9.200049003390585e-08,5.962962962962963,0.680672268907563,0.5294117647058824,0.5294117647058824
gb_ensemble,238,-0.32074501044010884,4.2727022569705264e-07,17.699999999999832,0.7983193277310925,0.6890756302521008,0.6890756302521008
gb_pooled,238,-0.3311710756713427,1.6904905007335016e-07,32.666666666666664,0.8361344537815126,0.9033613445378151,0.9033613445378151
