dataset,target,n_partners,n_target,n_partner_total,epv_target,lam_star,lam_best,ap_never_merge,ap_always_merge,ap_epv_gate,ap_local_cv,ap_blend,ap_fix_025,ap_fix_050,ap_fix_075,ap_oracle_binary,ap_oracle_lambda,ap_gate_loso,cut_loso,ap_gate_bestcut
lendingclub,AK,3,60,3096,0.6666666666666666,0.875,1.0,0.19496131887436235,0.3389584328714763,0.3389584328714763,0.3389584328714763,0.3149108138238573,0.21848224239528588,0.2799108138238573,0.2899108138238573,0.3389584328714763,0.3389584328714763,0.3389584328714763,12.0,0.3389584328714763
lendingclub,AK,3,60,3096,0.6666666666666666,0.0,1.0,0.23525252525252527,0.3348251748251748,0.3348251748251748,0.23525252525252527,0.23525252525252527,0.23174603174603176,0.24,0.257287784679089,0.3348251748251748,0.3348251748251748,0.3348251748251748,12.0,0.3348251748251748
lendingclub,AK,3,60,3096,0.6666666666666666,1.0,1.0,0.2548830409356725,0.3536369910282954,0.3536369910282954,0.3536369910282954,0.3536369910282954,0.2575814536340852,0.26681159420289857,0.3045021645021645,0.3536369910282954,0.3536369910282954,0.3536369910282954,12.0,0.3536369910282954
lendingclub,AK,4,60,7949,0.6666666666666666,0.875,1.0,0.19496131887436235,0.35324414715719066,0.35324414715719066,0.35324414715719066,0.3149108138238573,0.21848224239528588,0.27324414715719064,0.2899108138238573,0.35324414715719066,0.35324414715719066,0.35324414715719066,12.0,0.35324414715719066
lendingclub,AK,4,60,7949,0.6666666666666666,0.0,1.0,0.23525252525252527,0.26430735930735927,0.26430735930735927,0.23525252525252527,0.23525252525252527,0.23174603174603176,0.23059829059829062,0.24536019536019538,0.26430735930735927,0.26430735930735927,0.26430735930735927,12.0,0.26430735930735927
lendingclub,AK,4,60,7949,0.6666666666666666,1.0,1.0,0.2548830409356725,0.37347826086956526,0.37347826086956526,0.37347826086956526,0.37347826086956526,0.2575814536340852,0.26958937198067634,0.3045021645021645,0.37347826086956526,0.37347826086956526,0.37347826086956526,12.0,0.37347826086956526
lendingclub,AK,1,60,816,0.6666666666666666,0.875,1.0,0.19496131887436235,0.3717948717948718,0.3717948717948718,0.3717948717948718,0.35750915750915746,0.23514890906195252,0.286577480490524,0.33179487179487177,0.3717948717948718,0.3717948717948718,0.3717948717948718,12.0,0.3717948717948718
lendingclub,AK,1,60,816,0.6666666666666666,0.0,1.0,0.23525252525252527,0.2993073593073593,0.2993073593073593,0.23525252525252527,0.23525252525252527,0.23174603174603176,0.24322986954565903,0.2597036297036297,0.2993073593073593,0.2993073593073593,0.2993073593073593,12.0,0.2993073593073593
lendingclub,AK,1,60,816,0.6666666666666666,1.0,1.0,0.2548830409356725,0.36725274725274726,0.36725274725274726,0.36725274725274726,0.36725274725274726,0.30281954887218043,0.3025974025974026,0.3184920634920635,0.36725274725274726,0.36725274725274726,0.36725274725274726,12.0,0.36725274725274726
lendingclub,AK,3,60,795,0.6666666666666666,1.0,1.0,0.19496131887436235,0.2742063492063492,0.2742063492063492,0.2742063492063492,0.2742063492063492,0.20051687442991792,0.21718354109658455,0.22006327006327006,0.2742063492063492,0.2742063492063492,0.2742063492063492,12.0,0.2742063492063492
lendingclub,AK,3,60,795,0.6666666666666666,1.0,0.0,0.23525252525252527,0.22551036682615627,0.22551036682615627,0.22551036682615627,0.22551036682615627,0.23525252525252527,0.23521589521589525,0.22742368742368746,0.23525252525252527,0.23525252525252527,0.22551036682615627,12.0,0.22551036682615627
lendingclub,AK,3,60,795,0.6666666666666666,1.0,1.0,0.2548830409356725,0.32985527544351073,0.32985527544351073,0.32985527544351073,0.32985527544351073,0.26173222912353344,0.2708855472013366,0.28977591036414563,0.32985527544351073,0.32985527544351073,0.32985527544351073,12.0,0.32985527544351073
lendingclub,AK,4,60,2271,0.6666666666666666,0.875,1.0,0.19496131887436235,0.40815850815850807,0.40815850815850807,0.40815850815850807,0.35324414715719066,0.2199108138238573,0.29074414715719066,0.32824414715719064,0.40815850815850807,0.40815850815850807,0.40815850815850807,12.0,0.40815850815850807
lendingclub,AK,4,60,2271,0.6666666666666666,0.0,1.0,0.23525252525252527,0.35966873706004143,0.35966873706004143,0.23525252525252527,0.23525252525252527,0.23504273504273507,0.22882205513784462,0.2675824175824176,0.35966873706004143,0.35966873706004143,0.35966873706004143,12.0,0.35966873706004143
lendingclub,AK,4,60,2271,0.6666666666666666,1.0,1.0,0.2548830409356725,0.46450216450216447,0.46450216450216447,0.46450216450216447,0.46450216450216447,0.27543859649122804,0.28210526315789475,0.290303657694962,0.46450216450216447,0.46450216450216447,0.46450216450216447,12.0,0.46450216450216447
lendingclub,AK,1,60,298,0.6666666666666666,0.125,0.875,0.19496131887436235,0.45379487179487177,0.45379487179487177,0.19496131887436235,0.21846153846153846,0.24846153846153846,0.30575565610859734,0.42379487179487174,0.45379487179487177,0.45379487179487177,0.45379487179487177,12.0,0.45379487179487177
lendingclub,AK,1,60,298,0.6666666666666666,0.0,0.0,0.23525252525252527,0.21693043798306957,0.21693043798306957,0.23525252525252527,0.23525252525252527,0.22882205513784462,0.2127401837928154,0.21821637426900584,0.23525252525252527,0.23525252525252527,0.21693043798306957,12.0,0.21693043798306957
lendingclub,AK,1,60,298,0.6666666666666666,1.0,0.75,0.2548830409356725,0.2754615384615384,0.2754615384615384,0.2754615384615384,0.2754615384615384,0.28047619047619043,0.2728424908424908,0.30046153846153845,0.2754615384615384,0.30046153846153845,0.2754615384615384,12.0,0.2754615384615384
lendingclub,AK,2,60,1921,0.6666666666666666,0.75,1.0,0.19496131887436235,0.36928571428571433,0.36928571428571433,0.36928571428571433,0.28434898434898437,0.20895843287147636,0.23815642785894503,0.28434898434898437,0.36928571428571433,0.36928571428571433,0.36928571428571433,12.0,0.36928571428571433
lendingclub,AK,2,60,1921,0.6666666666666666,1.0,1.0,0.23525252525252527,0.27824016563146997,0.27824016563146997,0.27824016563146997,0.27824016563146997,0.23504273504273507,0.2294871794871795,0.24206349206349206,0.27824016563146997,0.27824016563146997,0.27824016563146997,12.0,0.27824016563146997
lendingclub,AK,2,60,1921,0.6666666666666666,0.875,1.0,0.2548830409356725,0.3854545454545454,0.3854545454545454,0.3854545454545454,0.33994076099339254,0.2575814536340852,0.2777777777777778,0.3032740943267259,0.3854545454545454,0.3854545454545454,0.3854545454545454,12.0,0.3854545454545454
lendingclub,AK,3,60,2110,0.6666666666666666,0.875,1.0,0.19496131887436235,0.2986346986346986,0.2986346986346986,0.2986346986346986,0.2777896017026452,0.21162798554102902,0.2637203376333811,0.2803870043000478,0.2986346986346986,0.2986346986346986,0.2986346986346986,12.0,0.2986346986346986
lendingclub,AK,3,60,2110,0.6666666666666666,1.0,0.875,0.23525252525252527,0.2734782608695652,0.2734782608695652,0.2734782608695652,0.2734782608695652,0.23174603174603176,0.24000000000000002,0.2738095238095238,0.2734782608695652,0.27549783549783546,0.2734782608695652,12.0,0.2734782608695652
lendingclub,AK,3,60,2110,0.6666666666666666,1.0,1.0,0.2548830409356725,0.3933333333333333,0.3933333333333333,0.3933333333333333,0.3933333333333333,0.2599206349206349,0.2777777777777778,0.3142857142857143,0.3933333333333333,0.3933333333333333,0.3933333333333333,12.0,0.3933333333333333
lendingclub,AK,3,60,1534,0.6666666666666666,1.0,1.0,0.19496131887436235,0.34982517482517483,0.34982517482517483,0.34982517482517483,0.34982517482517483,0.21848224239528585,0.2514897611922784,0.2599108138238573,0.34982517482517483,0.34982517482517483,0.34982517482517483,12.0,0.34982517482517483
lendingclub,AK,3,60,1534,0.6666666666666666,0.875,1.0,0.23525252525252527,0.2981159420289855,0.2981159420289855,0.23525252525252527,0.2823593073593073,0.2388522588522589,0.23444444444444446,0.257041847041847,0.2981159420289855,0.2981159420289855,0.2981159420289855,12.0,0.2981159420289855
lendingclub,AK,3,60,1534,0.6666666666666666,1.0,1.0,0.2548830409356725,0.4066666666666666,0.4066666666666666,0.4066666666666666,0.4066666666666666,0.27424812030075185,0.27658730158730155,0.3251449275362319,0.4066666666666666,0.4066666666666666,0.4066666666666666,12.0,0.4066666666666666
lendingclub,AK,1,60,317,0.6666666666666666,0.75,1.0,0.19496131887436235,0.29794871794871797,0.29794871794871797,0.29794871794871797,0.2892948717948718,0.21718354109658458,0.2256043956043956,0.2892948717948718,0.29794871794871797,0.29794871794871797,0.29794871794871797,12.0,0.29794871794871797
lendingclub,AK,1,60,317,0.6666666666666666,0.0,1.0,0.23525252525252527,0.2815567765567766,0.2815567765567766,0.23525252525252527,0.23525252525252527,0.23170940170940174,0.2288888888888889,0.23978354978354977,0.2815567765567766,0.2815567765567766,0.2815567765567766,12.0,0.2815567765567766
lendingclub,AK,1,60,317,0.6666666666666666,1.0,0.875,0.2548830409356725,0.28012820512820513,0.28012820512820513,0.28012820512820513,0.28012820512820513,0.26850649350649347,0.24811594202898551,0.27,0.28012820512820513,0.2816666666666666,0.28012820512820513,12.0,0.28012820512820513
lendingclub,AK,2,60,254,0.6666666666666666,0.75,1.0,0.19496131887436235,0.30512820512820515,0.30512820512820515,0.30512820512820515,0.30393772893772897,0.21846153846153846,0.24262820512820513,0.30393772893772897,0.30512820512820515,0.30512820512820515,0.30512820512820515,12.0,0.30512820512820515
lendingclub,AK,2,60,254,0.6666666666666666,0.625,0.0,0.23525252525252527,0.21088217338217338,0.21088217338217338,0.23525252525252527,0.21166875522138678,0.22841269841269843,0.2191223155929038,0.20422647527910687,0.23525252525252527,0.23525252525252527,0.21088217338217338,12.0,0.21088217338217338
