dataset,epv_target,gb_ensemble,gb_local,gb_pooled,lr_ensemble,lr_fedavg5,lr_local,lr_merge,lr_pooled,n_partners,n_target,seed,target
eicu,1.1111111111111112,-0.009446922480663256,0.16079220571893432,0.13762848140349043,-0.058027760089424674,-0.06910168296873756,0.23455004046646802,-0.062488020261113636,-0.016118016541103536,3,392,0,63
eicu,1.1111111111111112,0.09073198191103421,0.16156225739806218,0.08124345013792172,0.10535261361948528,0.027734255782954464,0.0899217552469494,0.11570012429339369,0.16776879385451332,3,392,1,63
eicu,1.1111111111111112,0.051506367536495706,0.16079220571893432,0.21548380723036853,-0.04339636252999329,-0.061302411882643404,0.23455004046646802,0.05376777104671285,-0.03694023874815747,4,392,0,63
eicu,1.1111111111111112,0.05690142445845758,0.16156225739806218,0.21054077697207557,0.1466263441368487,0.0715024973476232,0.0899217552469494,0.13547481042901915,0.17514608103664292,4,392,1,63
eicu,1.1111111111111112,0.0007762802163662208,0.16079220571893432,0.043003323815983874,-0.04458480815070348,-0.03744319805098337,0.23455004046646802,-0.006926947573810016,0.03572122354565646,1,392,0,63
eicu,1.1111111111111112,0.005392376489585848,0.16156225739806218,0.09746227667119461,0.07662964912335848,-0.0010060417472353422,0.0899217552469494,0.07915397380238437,0.0981925546337038,1,392,1,63
eicu,1.1111111111111112,0.07552845977269179,0.16079220571893432,0.12042662809379862,-0.04344466264283378,-0.06796073479064393,0.23455004046646802,-0.03282030838876279,-0.023464012957818497,4,392,0,63
eicu,1.1111111111111112,0.14587824258473153,0.16156225739806218,0.19638030567418374,0.09521234518303176,0.04266436778988608,0.0899217552469494,0.29021003046632105,0.23971454753911053,4,392,1,63
eicu,1.1111111111111112,-0.014418973733344331,0.16079220571893432,0.051187932539088016,-0.040783955016973295,-0.06935106308113295,0.23455004046646802,-0.06879389432566746,-0.09640637270755811,1,392,0,63
eicu,1.1111111111111112,0.05276381855550161,0.16156225739806218,0.1399520393729229,0.006984403820528701,0.026169678287014303,0.0899217552469494,0.024261120140914638,0.17285672990872747,1,392,1,63
eicu,1.1111111111111112,0.05786716579048348,0.16079220571893432,0.016435615737730558,-0.05317803857277406,-0.07105751198023011,0.23455004046646802,-0.05106701700754901,-0.058415688084688,2,392,0,63
eicu,1.1111111111111112,0.05407463847543337,0.16156225739806218,0.1709416108183064,0.02630087183086048,0.05737412378174403,0.0899217552469494,0.08271345362218682,0.24727365987090089,2,392,1,63
eicu,1.1111111111111112,0.10247244325251204,0.16079220571893432,0.21807239542726015,-0.039203519650471697,-0.06455908072603872,0.23455004046646802,0.029035706315578252,0.007379982585658751,3,392,0,63
eicu,1.1111111111111112,0.1614273110398013,0.16156225739806218,0.2571132739689504,0.09291394006213757,0.02298954264300332,0.0899217552469494,0.20670149343934846,0.10956660968740273,3,392,1,63
eicu,1.1111111111111112,-0.009927644550603326,0.16079220571893432,0.030474563297695156,-0.049650651477738006,-0.07451692005971336,0.23455004046646802,-0.0585074656360301,-0.03686673129843307,3,392,0,63
eicu,1.1111111111111112,0.1070820747356942,0.16156225739806218,0.04220865686411901,0.10644108348980744,0.03783680145017862,0.0899217552469494,0.09385849665332557,0.2640293629744897,3,392,1,63
eicu,1.1111111111111112,0.029654424256456063,0.16079220571893432,0.07173539098331047,-0.04635078801240933,-0.012571863372994346,0.23455004046646802,-0.005505293123367061,0.08281207439129093,1,392,0,63
eicu,1.1111111111111112,-0.024502775264178683,0.16156225739806218,0.14389892425328782,0.0013013802264514457,-0.0062704315174726966,0.0899217552469494,0.012464776325130572,0.11017898714685206,1,392,1,63
eicu,1.1111111111111112,-0.05294791467499549,0.16079220571893432,,-0.05573349541121764,-0.07238093025183254,0.23455004046646802,-0.07012888763036215,-0.03273348835663817,1,392,0,63
eicu,1.1111111111111112,0.026215284741842898,0.16156225739806218,,0.006634095921843011,0.014585994337829006,0.0899217552469494,0.00039513566670426603,0.19353977998993593,1,392,1,63
eicu,0.5555555555555556,-0.09021117626730984,0.20879708482167497,0.02223253399116487,0.05496177134719668,0.010358044651759574,0.13375248065170545,0.07039359185028157,0.03297438950653725,3,357,0,66
eicu,0.5555555555555556,-0.017337720970444087,0.09271469271469271,0.055776850087768975,0.039140372435682275,-0.011274038019232796,0.07978607149076164,0.007365412291156934,0.16483676757639404,3,357,1,66
eicu,0.5555555555555556,-0.029516601765448208,0.20879708482167497,0.10317304590906695,0.04322115798729062,0.02208006408398419,0.13375248065170545,0.09211269447817555,0.030237113699111057,3,357,0,66
eicu,0.5555555555555556,-0.018087167073929877,0.09271469271469271,0.006055872643299293,0.05221460327307101,0.011578932292005295,0.07978607149076164,0.03377588738369723,0.07520239904923523,3,357,1,66
eicu,0.5555555555555556,-0.07528431739586405,0.20879708482167497,-0.06701054335288262,0.015145371579730116,0.05214943061785288,0.13375248065170545,0.024527030386426285,0.07089995503521301,2,357,0,66
eicu,0.5555555555555556,-0.025279102678092566,0.09271469271469271,-0.030391175329000528,0.0006756644856802246,-0.005651189459175296,0.07978607149076164,0.012842757358362766,0.058286684623422846,2,357,1,66
eicu,0.5555555555555556,0.0885842361277574,0.20879708482167497,0.08065815943988203,0.08195140610481289,0.039383796651238506,0.13375248065170545,0.23557024891845188,0.07731318368962536,4,357,0,66
eicu,0.5555555555555556,0.14732498982498982,0.09271469271469271,-0.025704971030174273,0.005017072453943172,-0.0021958469442723144,0.07978607149076164,0.007729088390451833,0.010943234032121857,4,357,1,66
eicu,0.5555555555555556,0.2870005138061123,0.20879708482167497,0.08642649241409739,0.0515135095099398,0.03237834960437552,0.13375248065170545,0.07736529795677691,0.15818891128968646,3,357,0,66
eicu,0.5555555555555556,0.1175470695343544,0.09271469271469271,0.03336700318278821,0.06356735295372104,-0.007876874443667123,0.07978607149076164,0.009449290137588273,0.005319354586650865,3,357,1,66
eicu,0.5555555555555556,0.06004880327169482,0.20879708482167497,0.14116082763623744,0.04624344934422453,0.04029007428165407,0.13375248065170545,0.06498238088982866,0.11779412089489613,3,357,0,66
eicu,0.5555555555555556,-0.03736917155778461,0.09271469271469271,0.05849847116984633,0.013155174659439745,0.008762193110134542,0.07978607149076164,0.00923408538323428,0.008186881482191335,3,357,1,66
eicu,0.5555555555555556,-0.07500665535581014,0.20879708482167497,-0.11539648194180009,-0.015209204755488384,-0.03668310681701059,0.13375248065170545,0.024040349123882948,0.19708354846588347,4,357,0,66
eicu,0.5555555555555556,-0.03677994051960931,0.09271469271469271,-0.029477009188384404,0.004834098569281117,0.004371869670030545,0.07978607149076164,-0.0059612062024817225,0.03277382156685425,4,357,1,66
eicu,0.5555555555555556,-0.022488303164056117,0.20879708482167497,0.01730061921720555,0.019135545849116697,0.02420258632629274,0.13375248065170545,0.03632729420719824,0.04869931739331293,2,357,0,66
eicu,0.5555555555555556,-0.0355841320074351,0.09271469271469271,-0.02772378084878084,0.01906853404901826,0.006459685067494919,0.07978607149076164,0.006382050919865767,-0.014842015802440697,2,357,1,66
eicu,0.5555555555555556,0.01391188788729772,0.20879708482167497,0.09830412593234261,-0.011763428015177449,0.037826240927016114,0.13375248065170545,0.09731806392170642,0.012293648237560711,2,357,0,66
eicu,0.5555555555555556,-0.016937925760228317,0.09271469271469271,-0.019242669363209383,0.04135759793841712,0.006162737118865683,0.07978607149076164,0.018218494490434722,0.014670249444432543,2,357,1,66
eicu,0.5555555555555556,-0.0694182913124467,0.20879708482167497,,0.03011352481877766,0.009756253702921741,0.13375248065170545,0.10373403499014999,0.22232197883505952,1,357,0,66
eicu,0.5555555555555556,-0.018607779590735035,0.09271469271469271,,-0.0005612376825945009,-0.017163988061473498,0.07978607149076164,0.011211037547584513,0.005025040336479214,1,357,1,66
eicu,0.48148148148148145,0.1013329672044771,0.4379839208410637,-0.10298761633256404,0.18398808484455417,0.19128149954071486,0.09912785718443132,0.15495664985782218,0.35087214281556867,4,340,0,71
eicu,0.48148148148148145,0.10247210216796895,0.16581604243596507,0.25101449544720444,0.056125704840515045,-0.21781350840102376,0.4498572011423909,-0.09350799479318456,-0.10637978966497941,4,340,1,71
eicu,0.48148148148148145,-0.10925274210988495,0.4379839208410637,0.040421876260385625,0.035897027840453705,0.07649870923160879,0.09912785718443132,0.19312031828292223,0.0646451514161635,4,340,0,71
eicu,0.48148148148148145,0.1730916839839565,0.16581604243596507,0.11275966562503711,-0.0627143439995338,-0.1918572011423909,0.4498572011423909,-0.0718068032644068,-0.18688971183949682,4,340,1,71
eicu,0.48148148148148145,-0.06679344465058751,0.4379839208410637,-0.1869864527076605,0.0557385771941982,0.11822975252611959,0.09912785718443132,0.10380720775063365,0.1875388094822353,3,340,0,71
eicu,0.48148148148148145,0.05347729362755735,0.16581604243596507,-0.014340067430578307,-0.3012555104354371,-0.2610962519466591,0.4498572011423909,-0.3033946577661917,-0.25367151448861913,3,340,1,71
eicu,0.48148148148148145,-0.07488868274582566,0.4379839208410637,-0.08701764573685755,0.12784183978526567,0.15297785466552602,0.09912785718443132,0.10314215780960168,0.3106340475774735,2,340,0,71
eicu,0.48148148148148145,0.13537913919399916,0.16581604243596507,0.1497326000979716,-0.07198531457485219,-0.22957331835850814,0.4498572011423909,-0.2514840765500882,-0.20292252540028466,2,340,1,71
eicu,0.48148148148148145,-0.26411191727960764,0.4379839208410637,0.006238613616316224,0.13864176449823384,0.19531658726001314,0.09912785718443132,0.2640756060190319,0.25641089361620506,3,340,0,71
eicu,0.48148148148148145,0.04814880408702096,0.16581604243596507,0.12397227171667544,-0.009467416196154321,-0.17964963093482067,0.4498572011423909,-0.23766243140480658,-0.1344510112490529,3,340,1,71
eicu,0.48148148148148145,-0.0006658290473842143,0.4379839208410637,0.08200040517774504,0.38661775685065636,0.1296610505688228,0.09912785718443132,0.38790917985260576,0.3181662604626275,2,340,0,71
eicu,0.48148148148148145,0.10636440869185446,0.16581604243596507,0.12634644262974584,-0.046053064780115005,-0.04147130132791965,0.4498572011423909,-0.22955871943086573,-0.3411769035604915,2,340,1,71
eicu,0.48148148148148145,-0.21795878468689528,0.4379839208410637,-0.04092509731165195,0.04483012600884598,0.11381073930679672,0.09912785718443132,0.09610666383930777,0.11664137358479945,4,340,0,71
eicu,0.48148148148148145,0.11204110042117785,0.16581604243596507,0.16638521542567017,-0.17462003520755054,-0.1359066127237174,0.4498572011423909,-0.15081873960392933,-0.2698945192954586,4,340,1,71
eicu,0.48148148148148145,-0.17548392084106368,0.4379839208410637,,0.018150550818312267,0.1573800793235052,0.09912785718443132,0.07406512527170905,0.15436864631207223,1,340,0,71
eicu,0.48148148148148145,0.06492170925556506,0.16581604243596507,,0.030709600477042298,-0.0767930189477739,0.4498572011423909,-0.07037200165719137,-0.2748756251453388,1,340,1,71
eicu,0.48148148148148145,-0.27038312830338473,0.4379839208410637,0.09162857192932389,0.1353230849858091,0.1770745145386571,0.09912785718443132,0.1903959523393782,0.3094104076198182,4,340,0,71
eicu,0.48148148148148145,-0.053269347141780526,0.16581604243596507,0.15750837824139682,-0.08214291542810526,-0.06886874515393493,0.4498572011423909,-0.17254089000255035,-0.15977173105692083,4,340,1,71
eicu,0.48148148148148145,0.0528494124922696,0.4379839208410637,-0.08547765517690326,0.000877957424991832,0.06914137358479946,0.09912785718443132,0.027227370540659407,0.16359941554284138,3,340,0,71
eicu,0.48148148148148145,0.14541758461809542,0.16581604243596507,-0.02144581864097997,-0.1794966810478283,-0.3432954295806193,0.4498572011423909,-0.2850146887949862,-0.3479037299900376,3,340,1,71
eicu,7.884615384615385,0.034228253178546414,0.21218013499797744,0.0934917323740756,0.01595270765690804,0.014079775635852942,0.2517828151563735,0.007490126402968145,0.06479534650943325,3,3039,0,73
eicu,7.884615384615385,0.03694044025641008,0.2711916132920818,0.11253290126090681,-0.008169568965866236,-0.014323970960805121,0.3060086126302539,0.004876785959547381,0.09328023614607628,3,3039,1,73
eicu,7.884615384615385,0.10128077910767669,0.21218013499797744,0.08759850798613006,0.07678069997535841,0.026871452766682125,0.2517828151563735,0.04092206501637663,0.06562639308270968,4,3039,0,73
